xunit, xunit_low, fitted_data, total_model, Nnbb_bege, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_bege, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
677, 672, 78.2, 72.9085, 53.6446, 0.0355673, 0.415632, 0.0463532, 0.00773195, 0.186067, 0.00967073, 0.0272362, 0.323864, 0.468403, 0.0671249, 2.22727, 0.640037, 0.295578, 0.100066, 9.52119, 1.07032, 0.0407702, 0.0845693, 0.298004, 2.52927, 0.65322, 0.00977246, 0.0558153, 0.0254986, 0.0389149, 0.0859703, 75.65, 70.15, 78.35, 67.45, 80.95, 64.85, 1.95969
687, 682, 69, 72.6239, 53.7031, 0.0339168, 0.39809, 0.0440315, 0.00752888, 0.182333, 0.0096377, 0.0265797, 0.321491, 0.444424, 0.066906, 2.22958, 0.653584, 0.295885, 0.0983485, 9.29017, 1.05127, 0.0399882, 0.0798753, 0.284689, 2.47516, 0.670584, 0.00985544, 0.0568094, 0.0256373, 0.0384195, 0.0860339, 75.35, 69.85, 78.05, 67.15, 80.65, 64.55, -1.34473
697, 692, 74.3, 72.1263, 53.3206, 0.0341597, 0.404644, 0.0450055, 0.00747112, 0.179746, 0.00932768, 0.0258006, 0.321984, 0.441054, 0.0664316, 2.29015, 0.651836, 0.303923, 0.0967989, 9.15474, 1.04679, 0.039909, 0.0808924, 0.281518, 2.44223, 0.664335, 0.00985315, 0.0569667, 0.0253956, 0.0386169, 0.0861085, 74.85, 69.35, 77.55, 66.75, 80.15, 64.15, 0.809393
707, 702, 74.9, 71.8826, 53.4084, 0.0339561, 0.401148, 0.0442393, 0.00731893, 0.176165, 0.00910717, 0.0250056, 0.323261, 0.449143, 0.065793, 2.2023, 0.644494, 0.292264, 0.0956191, 8.93852, 1.02838, 0.0390082, 0.0806577, 0.282469, 2.3843, 0.725953, 0.0103364, 0.0623965, 0.0271678, 0.0390392, 0.086182, 74.65, 69.15, 77.25, 66.45, 79.85, 63.85, 1.12542
717, 712, 70.5, 71.3128, 53.1075, 0.0293756, 0.344631, 0.0377141, 0.00731522, 0.176849, 0.00917726, 0.0249932, 0.323683, 0.44038, 0.0652821, 2.19352, 0.65306, 0.291098, 0.0940527, 8.83663, 1.01975, 0.0385392, 0.0797189, 0.27708, 2.35555, 0.686854, 0.00996501, 0.0589443, 0.0259613, 0.0389938, 0.0862525, 74.05, 68.55, 76.65, 65.95, 79.25, 63.35, -0.30438
727, 722, 74.5, 72.9472, 52.9835, 0.0313045, 0.368259, 0.0407618, 0.0654954, 1.91142, 0.0860752, 0.102129, 0.326062, 0.437683, 0.0648442, 2.19444, 0.640474, 0.291221, 0.0930702, 8.71194, 1.01503, 0.0383868, 0.0823006, 0.286591, 2.32671, 0.637011, 0.00935252, 0.0542552, 0.0240467, 0.0385261, 0.0863057, 75.65, 70.25, 78.35, 67.55, 81.05, 64.85, 0.574929
737.5, 732, 69.9091, 70.3673, 52.6693, 0.0276472, 0.322799, 0.0355362, 0.00538541, 0.131427, 0.00673561, 0.0201601, 0.324857, 0.433525, 0.0647049, 2.22235, 0.632941, 0.294925, 0.092235, 8.54738, 1.01219, 0.0376003, 0.0744631, 0.258231, 2.28585, 0.652815, 0.0095334, 0.0558967, 0.0239269, 0.0384401, 0.0864012, 72.9545, 67.7727, 75.5, 65.3182, 77.9545, 62.7727, -0.181168
748.5, 743, 70.5455, 69.9816, 52.5974, 0.0273678, 0.320978, 0.0351912, 0.005215, 0.125922, 0.00656482, 0.0198688, 0.32839, 0.441054, 0.0639253, 2.1366, 0.63755, 0.283545, 0.091267, 8.39174, 0.99107, 0.0379166, 0.0755299, 0.268607, 2.24422, 0.638811, 0.00950797, 0.0547086, 0.0234826, 0.0386841, 0.0864785, 72.5909, 67.4091, 75.0455, 64.8636, 77.5, 62.4091, 0.223554
759.5, 754, 65.9091, 69.4611, 52.1762, 0.0298609, 0.356101, 0.038942, 0.0068755, 0.175236, 0.00938947, 0.0251177, 0.328291, 0.42941, 0.063295, 2.16729, 0.636914, 0.287618, 0.0904982, 8.24036, 0.988715, 0.0367962, 0.0765967, 0.260249, 2.21518, 0.613071, 0.00900492, 0.0519816, 0.0226787, 0.0388725, 0.0865498, 72.0455, 66.8636, 74.5, 64.4091, 76.9545, 61.9545, -1.41353
770.5, 765, 70.4545, 69.9012, 51.7886, 0.0311419, 0.367141, 0.0407017, 0.00501507, 0.120761, 0.00620012, 0.0187999, 0.332555, 0.435101, 0.0626315, 2.15005, 0.62301, 0.28533, 0.0887047, 8.13518, 0.98268, 0.0372723, 0.0760277, 0.258808, 2.18438, 1.55291, 0.019544, 0.129118, 0.0440099, 0.0388815, 0.0866224, 72.5, 67.3182, 74.9545, 64.8636, 77.4091, 62.4091, 0.219505
