xunit, xunit_low, fitted_data, total_model, Nnbb_bege, Ac228_cables, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_cables, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_cables, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_far, K40_holders, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_bege, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
770.5, 765, 70.4545, 69.9369, 51.617, 0.0399467, 0.0285935, 0.402466, 0.0394957, 2.33156e-05, 0.00496551, 0.116989, 0.00607728, 0.0183758, 0.00798039, 0.320239, 0.35984, 0.0660804, 2.4684, 0.000102598, 0.644367, 0.102287, 10.1817, 0.920536, 2.76149e-05, 0.0629083, 0.320951, 0.378234, 1.51193, 0.0192396, 0.129062, 0.0439579, 0.0383081, 0.0867954, 72.5, 67.4091, 75.0455, 64.8636, 77.5, 62.4091, 0.205275
781.5, 776, 69.3636, 68.789, 51.247, 0.0317168, 0.0233379, 0.325465, 0.0308012, 5.05047e-05, 0.00958821, 0.251009, 0.0129764, 0.0281647, 0.00805947, 0.321723, 0.357595, 0.0684429, 2.46116, 0.000101195, 0.65168, 0.10089, 9.96925, 0.910471, 2.69549e-05, 0.0604955, 0.327027, 0.371871, 0.973373, 0.0133089, 0.0808685, 0.0269646, 0.0386404, 0.0868746, 71.3182, 66.2273, 73.8636, 63.7727, 76.2273, 61.3182, 0.229805
792.5, 787, 69.4545, 68.0418, 50.8829, 0.0542693, 0.037738, 0.537344, 0.0534113, 2.20248e-05, 0.00467015, 0.111324, 0.00576935, 0.0172875, 0.0080689, 0.326327, 0.354772, 0.0659929, 2.45441, 0.000100751, 0.659487, 0.100447, 9.89111, 0.904635, 2.66202e-05, 0.063379, 0.321308, 0.368895, 0.609782, 0.00879123, 0.051948, 0.02139, 0.0392733, 0.0869518, 70.5909, 65.5, 73.0455, 63.0455, 75.5, 60.5909, 0.568035
803.5, 798, 63.0909, 67.0625, 50.2594, 0.0217337, 0.016414, 0.226539, 0.0210465, 2.05221e-05, 0.0044714, 0.104513, 0.00543225, 0.016673, 0.00819641, 0.328419, 0.350862, 0.0664654, 2.45634, 9.91335e-05, 0.656693, 0.0988339, 9.72054, 0.900613, 2.63905e-05, 0.0622609, 0.29772, 0.36085, 0.839582, 0.0111582, 0.0726068, 0.0280198, 0.039954, 0.087088, 69.5909, 64.5909, 72.0455, 62.0455, 74.4091, 59.6818, -1.60851
814.5, 809, 67.4545, 66.3028, 49.9712, 0.0211903, 0.0158483, 0.220874, 0.0203724, 2.05248e-05, 0.00442146, 0.104788, 0.00538354, 0.0164365, 0.00835729, 0.33266, 0.351296, 0.0637003, 2.41001, 9.86592e-05, 0.639354, 0.098361, 9.58983, 0.891674, 2.62729e-05, 0.065321, 0.332031, 0.357328, 0.576781, 0.00817129, 0.0492777, 0.0203416, 0.0404772, 0.0871188, 68.7727, 63.7727, 71.2273, 61.3182, 73.5909, 58.9545, 0.469127
825.5, 820, 64.9091, 65.6451, 49.3585, 0.0241634, 0.01774, 0.247733, 0.023468, 2.07386e-05, 0.00437239, 0.103938, 0.00546958, 0.0163343, 0.0086381, 0.345684, 0.352382, 0.0646278, 2.43317, 9.78722e-05, 0.647407, 0.0975763, 9.46665, 0.886642, 2.59351e-05, 0.0610251, 0.297362, 0.352802, 0.618799, 0.00866856, 0.0529116, 0.021136, 0.040555, 0.087187, 68.1364, 63.1364, 70.5909, 60.6818, 72.9545, 58.3182, -0.301278
836.5, 831, 64.8182, 65.3335, 48.7606, 0.0401192, 0.0283966, 0.408366, 0.0387615, 2.02834e-05, 0.00429444, 0.103317, 0.00533252, 0.0161227, 0.00848134, 0.344875, 0.346735, 0.0636128, 2.48722, 9.75824e-05, 0.645599, 0.0972874, 9.32314, 0.880391, 2.57007e-05, 0.059142, 0.317734, 0.349394, 0.777523, 0.010642, 0.0649993, 0.0228863, 0.0410412, 0.0872737, 67.7727, 62.8636, 70.2273, 60.4091, 72.5909, 58.0455, -0.211442
847.5, 842, 62.7273, 64.2429, 48.3996, 0.0170246, 0.0129747, 0.178221, 0.0164329, 1.99749e-05, 0.00422101, 0.0993592, 0.00525007, 0.0158955, 0.00866377, 0.348693, 0.361215, 0.0631053, 2.40422, 9.6518e-05, 0.654475, 0.0962263, 9.21452, 0.868855, 2.54475e-05, 0.0563173, 0.304153, 0.34478, 0.561759, 0.00793168, 0.0485935, 0.0200013, 0.0428904, 0.0873484, 66.6818, 61.7727, 69.1364, 59.4091, 71.5, 57.0455, -0.627141
858.5, 853, 62.3636, 64.2871, 47.7654, 0.0156484, 0.011972, 0.164509, 0.0152376, 0.000142538, 0.0257502, 0.731628, 0.0360092, 0.0578827, 0.00882855, 0.355791, 0.36918, 0.0631403, 2.44524, 9.60114e-05, 0.642559, 0.0957212, 9.14206, 0.868051, 2.53245e-05, 0.0588478, 0.298792, 0.341669, 0.565775, 0.0079723, 0.0482506, 0.0198549, 0.0436347, 0.0874263, 66.7727, 61.8636, 69.1364, 59.4091, 71.5, 57.0455, -0.795625
869.5, 864, 60.3636, 62.931, 47.3072, 0.0169229, 0.0128072, 0.177819, 0.0162129, 1.696e-05, 0.00369826, 0.0853929, 0.00451495, 0.0139028, 0.00900612, 0.364441, 0.363822, 0.0645403, 2.42256, 9.50232e-05, 0.657515, 0.094736, 8.97249, 0.870303, 2.50219e-05, 0.0603189, 0.292358, 0.337601, 0.573697, 0.00793743, 0.049219, 0.0198234, 0.0445805, 0.0875126, 65.4091, 60.5, 67.7727, 58.1364, 70.0455, 55.7727, -1.07339
