xunit, xunit_low, fitted_data, total_model, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
1695, 1680, 0.5, 0.763707, 0.000541749, 0.00433885, 0.000442469, 0.0054367, 0.0917155, 0.00493483, 0.00716486, 0.130776, 0, 0, 0, 0, 0, 0, 0.0349334, 0.0505184, 0.00182464, 0.0246823, 0.0423229, 0.0243078, 0.29999, 0.00706955, 0.0282682, 0.00443787, 0, 0.916667, 0.583333, 1.08333, 0.45, 1.28333, 0.316667, -1.72705
1717.5, 1710, 0.733333, 0.713129, 0.000577212, 0.00436237, 0.00042683, 0.005459, 0.0913894, 0.0050139, 0.00731307, 0.123869, 0, 0, 0, 0, 0, 0, 0.0316347, 0.0409706, 0.00162854, 0.020862, 0.0308571, 0.019404, 0.291209, 0.00686814, 0.0271523, 0.00413242, 0, 0.9, 0.433333, 1.16667, 0.3, 1.43333, 0.1, 0.141312
1730, 1725, 1.2, 1.582, 0.000422059, 0.00322027, 0.000326722, 0.0055001, 0.0923677, 0.00506573, 0.00736857, 0.12083, 0, 0, 0, 0, 0, 0, 0.0296263, 0.0367656, 0.00157404, 0.0182673, 0.0271057, 0.017471, 1.07919, 0.0270395, 0.0995622, 0.0103005, 0, 1.95, 1.15, 2.45, 0.85, 2.85, 0.45, -0.958181
1747.5, 1735, 0.8, 0.638393, 0.000344061, 0.00269854, 0.000281347, 0.00552131, 0.0942201, 0.00506861, 0.00745197, 0.117686, 0, 0, 0, 0, 0, 0, 0.028184, 0.0321432, 0.00145522, 0.0178839, 0.0286591, 0.0159794, 0.248106, 0.0057805, 0.023144, 0.00378494, 0, 0.78, 0.46, 0.98, 0.34, 1.18, 0.22, 1.00893
1765, 1760, 2.2, 2.27159, 0.000149185, 0.00123619, 0.000128925, 0.00559692, 0.0944272, 0.00515082, 0.00756483, 0.11468, 0, 0, 0, 0, 0, 0, 0.0253494, 0.0293585, 0.00137445, 0.0167417, 0.0207651, 0.0146835, 1.70524, 0.0375751, 0.158291, 0.0332825, 0, 2.75, 1.75, 3.25, 1.35, 3.85, 0.95, -0.116382
1801, 1770, 0.774194, 0.469372, 0.000182629, 0.00140665, 0.000148838, 0.00586986, 0.0993223, 0.0053944, 0.00769327, 0.109051, 0, 0, 0, 0, 0, 0, 0.022724, 0.0259307, 0.00120923, 0.0141449, 0.0187914, 0.0124761, 0.128332, 0.00304715, 0.0119872, 0.00166085, 0, 0.556452, 0.379032, 0.653226, 0.298387, 0.75, 0.233871, 3.12014
1837.5, 1832, 0.545455, 0.701365, 0.000280288, 0.00219945, 0.000221518, 0.0055836, 0.0958435, 0.00520965, 0.0076634, 0.104006, 0, 0, 0, 0, 0, 0, 0.0292318, 0.105949, 0.00177797, 0.048113, 0.0894876, 0.037783, 0.148365, 0.00338883, 0.0139757, 0.00228562, 0, 0.954545, 0.409091, 1.22727, 0.227273, 1.59091, 0.0454545, -0.578081
1848, 1843, 0.8, 0.857749, 0.000152501, 0.00124322, 0.000127879, 0.00566311, 0.0972631, 0.00529303, 0.0077206, 0.102765, 0, 0, 0, 0, 0, 0, 0.0182003, 0.0154213, 0.00108699, 0.00981817, 0.0133151, 0.00780323, 0.506856, 0.0124606, 0.0467846, 0.00577439, 0, 1.15, 0.55, 1.45, 0.25, 1.85, 0.05, -0.142378
2026.5, 1853, 0.37464, 0.367125, 5.59446e-05, 0.000438271, 4.56074e-05, 0.0065046, 0.111219, 0.00608723, 0.00874298, 0.0893344, 0, 0, 0, 0, 0, 0, 0.0130119, 0.00984018, 0.000682215, 0.00731034, 0.00590654, 0.00518883, 0.0907875, 0.00214437, 0.00846878, 0.00135622, 0, 0.402017, 0.332853, 0.433718, 0.301153, 0.465418, 0.269452, 0.231038
2204, 2200, 1.25, 0.947477, 0, 0, 0, 0.00769905, 0.130041, 0.00711956, 0.00981277, 0.0821396, 0, 0, 0, 0, 0, 0, 0.00698512, 0.00640868, 0.000446608, 0.00459616, 0.00396281, 0.00325135, 0.602701, 0.0132961, 0.0560354, 0.0129823, 0, 1.3125, 0.5625, 1.6875, 0.3125, 2.0625, 0.0625, 0.889127
2409, 2208, 0.291045, 0.290066, 0, 0, 0, 0.00954375, 0.161492, 0.00883699, 0.0112429, 0.0619225, 0, 0, 0, 0, 0, 0, 0.00496233, 0.00402611, 0.000268832, 0.00278679, 0.00222785, 0.00205335, 0.0182955, 0.000430242, 0.00169869, 0.00027789, 0, 0.317164, 0.262438, 0.344527, 0.235075, 0.371891, 0.210199, 0.0364329
2615, 2610, 1.8, 1.28474, 0, 0, 0, 0.0607086, 1.01013, 0.0632603, 0.142508, 6.84782e-06, 0, 0, 0, 0, 0, 0, 0.000842898, 0.001673, 0.000126272, 0.00136907, 0.000951076, 0.00052208, 0.00234059, 5.34102e-05, 0.000224737, 2.34018e-05, 0, 1.65, 0.85, 2.05, 0.55, 2.45, 0.35, 1.39207
2905, 2620, 0.0912281, 0.123392, 0, 0, 0, 0.00631852, 0.106225, 0.00503605, 0.0014873, 2.40274e-07, 0, 0, 0, 0, 0, 0, 0.000573981, 0.00096858, 3.67005e-05, 0.000369202, 0.000589556, 0.00035018, 0.00127187, 3.22729e-05, 0.000118271, 1.46628e-05, 0, 0.139474, 0.107895, 0.153509, 0.0938596, 0.167544, 0.0780702, -2.18606
3197.5, 3190, 0.133333, 0.393984, 0, 0, 0, 0.0220077, 0.352245, 0.0158163, 0.00202301, 0, 0, 0, 0, 0, 0, 0, 0.000478683, 0.000665603, 5.04313e-06, 0.000182542, 0.00021135, 0.000348053, 0, 0, 1.05883e-07, 1.11437e-07, 0, 0.566667, 0.233333, 0.766667, 0.1, 0.966667, 0, -1.77065
3602.5, 3205, 0.0113208, 0.0074121, 0, 0, 0, 0.000319861, 0.00615536, 0.000227883, 2.43256e-05, 0, 0, 0, 0, 0, 0, 0, 0.000156681, 0.00017548, 1.6908e-06, 7.38042e-05, 0.000181442, 9.5574e-05, 0, 0, 0, 0, 0, 0.0106918, 0.00440252, 0.0144654, 0.00188679, 0.018239, 0, 1.24025
4025.22, 4000, 0, 9.93816e-06, 0, 0, 0, 4.05933e-07, 9.25997e-06, 2.7062e-07, 1.63336e-09, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.000628931, 0, 0.000628931, 0, 0.00188679, 0, -0.277755
