xunit, xunit_low, fitted_data, total_model, Nnbb_invcoax, Ac228_cables, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_cables, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_cables, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_far, K40_holders, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
1695, 1680, 0.433333, 0.636506, 0.323153, 0.000209398, 0.000587425, 0.00267886, 0.000325961, 2.78331e-06, 0.00181726, 0.0144124, 0.00110774, 0.00200163, 8.77092e-05, 0.00633265, 0, 0, 0, 0, 0, 0, 0.0190411, 0.0204158, 6.89805e-09, 0.169988, 0.00235888, 0.000660783, 0.0502816, 0.00252677, 0.00667906, 0.000999299, 0, 0.010838, 0.783333, 0.483333, 0.95, 0.35, 1.11667, 0.25, -1.43893
1717.5, 1710, 0.533333, 0.523821, 0.235352, 9.94945e-05, 0.000281592, 0.00132253, 0.000154843, 2.74095e-06, 0.0017787, 0.0139373, 0.00108069, 0.0019762, 8.11151e-05, 0.00616559, 0, 0, 0, 0, 0, 0, 0.0186504, 0.0189075, 5.74838e-09, 0.166578, 0.00183469, 0.000548859, 0.036729, 0.00184107, 0.00488967, 0.000751979, 0, 0.0108567, 0.7, 0.3, 0.9, 0.166667, 1.16667, 0.0333333, 0.108183
1730, 1725, 1.1, 0.942512, 0.20235, 5.88006e-05, 0.000173173, 0.000777159, 9.06738e-05, 2.79629e-06, 0.00177863, 0.0143732, 0.00107126, 0.00197305, 7.86523e-05, 0.00603041, 0, 0, 0, 0, 0, 0, 0.0147692, 0.0190339, 4.31128e-09, 0.159825, 0.00314518, 0.000513344, 0.422598, 0.0226222, 0.0550786, 0.00530092, 0, 0.0108681, 1.25, 0.55, 1.65, 0.35, 1.95, 0.15, 0.548902
1747.5, 1735, 0.32, 0.429258, 0.161188, 0.00012386, 0.000358167, 0.00155147, 0.00019725, 2.73319e-06, 0.00181222, 0.0144917, 0.0011184, 0.00199382, 8.1703e-05, 0.00587281, 0, 0, 0, 0, 0, 0, 0.0150349, 0.0169359, 6.20825e-09, 0.158957, 0.000786294, 0.000530779, 0.0310724, 0.00150198, 0.00408287, 0.000679185, 0, 0.010884, 0.54, 0.26, 0.7, 0.18, 0.86, 0.06, -0.817919
1765, 1760, 2.8, 2.4449, 0.111223, 2.23346e-05, 6.20964e-05, 0.000281876, 3.5572e-05, 2.92702e-06, 0.00184968, 0.0146308, 0.00116444, 0.00205567, 7.4958e-05, 0.00566114, 0, 0, 0, 0, 0, 0, 0.0125812, 0.0162029, 3.44903e-09, 0.160407, 0.00196574, 0.000445544, 1.74972, 0.0927063, 0.237959, 0.0249425, 0, 0.0108985, 2.95, 1.95, 3.45, 1.45, 4.05, 1.05, 0.732603
1802.5, 1770, 0.415385, 0.306534, 0.0643721, 5.07565e-05, 0.000138472, 0.000626405, 7.33975e-05, 3.14263e-06, 0.00211184, 0.0166188, 0.00126291, 0.00207699, 7.71672e-05, 0.00550008, 0, 0, 0, 0, 0, 0, 0.0122626, 0.014797, 4.24495e-09, 0.14759, 0.00102823, 0.000412265, 0.0220609, 0.00114648, 0.00299022, 0.000401624, 0, 0.010932, 0.376923, 0.238462, 0.453846, 0.176923, 0.530769, 0.115385, 1.533
1839, 1835, 0.5, 0.350135, 0.0288758, 8.50471e-05, 0.000235767, 0.00104925, 0.000124676, 2.96704e-06, 0.00195214, 0.0148753, 0.00117177, 0.00201426, 7.06083e-05, 0.00543611, 0, 0, 0, 0, 0, 0, 0.0124054, 0.031818, 6.46692e-09, 0.179228, 0.000982868, 0.000976646, 0.0477601, 0.00242808, 0.00660979, 0.00106561, 0, 0.0109667, 0.5625, 0.0625, 0.8125, 0, 1.0625, 0, 0.715073
1848, 1843, 0.3, 0.543596, 0.0226471, 3.6466e-05, 0.000100616, 0.000453491, 6.41691e-05, 2.9913e-06, 0.00191984, 0.0151225, 0.00116436, 0.00203863, 7.51963e-05, 0.0053545, 0, 0, 0, 0, 0, 0, 0.00968985, 0.0135234, 2.58677e-09, 0.133867, 0.000786294, 0.000271201, 0.271593, 0.0141948, 0.0361102, 0.00360663, 0, 0.0109743, 0.75, 0.25, 1.05, 0.05, 1.35, 0, -1.05516
1933.5, 1853, 0.229814, 0.225321, 0.0040932, 4.82837e-05, 0.000132631, 0.000609625, 7.81103e-05, 3.1084e-06, 0.00208833, 0.0161521, 0.00126204, 0.0020722, 7.34562e-05, 0.00521046, 0, 0, 0, 0, 0, 0, 0.0178469, 0.0119322, 4.39162e-09, 0.120177, 0.000830248, 0.000537428, 0.0258505, 0.00135123, 0.00347472, 0.000450496, 0, 0.0110465, 0.263975, 0.18323, 0.301242, 0.152174, 0.34472, 0.121118, 0.146514
2039, 2014, 0, 0.178688, 0, 1.53033e-06, 4.74855e-06, 1.56499e-05, 1.25548e-06, 3.27447e-06, 0.00224264, 0.0170332, 0.00135797, 0.00208265, 7.22647e-05, 0.00510392, 0, 0, 0, 0, 0, 0, 0.00548571, 0.00850334, 1.72451e-09, 0.10176, 0.000235888, 0.000171761, 0.0195679, 0.00100905, 0.00256184, 0.00033445, 0, 0.011139, 0.23, 0.11, 0.31, 0.07, 0.39, 0.03, -3.9
2132, 2064, 0.154412, 0.171603, 0, 2.53433e-08, 6.10416e-08, 3.26911e-07, 1.02572e-07, 4.72617e-06, 0.00328158, 0.0242973, 0.00196593, 0.00276699, 7.3386e-05, 0.00514106, 0, 0, 0, 0, 0, 0, 0.00532069, 0.00702007, 1.01442e-09, 0.0848948, 0.000346894, 0.000175198, 0.0208987, 0.00107188, 0.00276097, 0.000356234, 0, 0.0112256, 0.209559, 0.136029, 0.246324, 0.0992647, 0.283088, 0.0698529, -0.457222
2204, 2200, 1.5, 0.888949, 0, 0, 0, 0, 0, 4.32018e-06, 0.00309089, 0.0228334, 0.00183265, 0.00255749, 8.52066e-05, 0.00561333, 0, 0, 0, 0, 0, 0, 0.004884, 0.00537146, 0, 0.0702348, 0, 0.000149322, 0.633556, 0.032246, 0.085292, 0.00990687, 0, 0.0112916, 1.1875, 0.4375, 1.5625, 0.1875, 2.0625, 0.0625, 1.7102
2409, 2208, 0.0995025, 0.102798, 0, 0, 0, 0, 0, 4.28596e-06, 0.00312213, 0.0231538, 0.0018118, 0.00233323, 7.5759e-05, 0.00522821, 0, 0, 0, 0, 0, 0, 0.00390525, 0.00333134, 1.65159e-09, 0.0400343, 0.000224935, 0.00013099, 0.00662818, 0.000337151, 0.000873677, 0.0001104, 0, 0.0114927, 0.118159, 0.0858209, 0.135572, 0.0708955, 0.152985, 0.0584577, -0.181514
2615, 2610, 1.6, 1.34714, 0, 0, 0, 0, 0, 0.000191304, 0.133276, 0.99868, 0.0803439, 0.106342, 0, 0, 0, 0, 0, 0, 0, 0, 0.000156288, 0.00133971, 0, 0.0146296, 0, 6.45716e-06, 0.000401557, 1.715e-05, 4.71504e-05, 4.67482e-06, 0, 0.0117062, 1.75, 0.95, 2.15, 0.65, 2.55, 0.35, 0.709749
3560, 2620, 0.0164894, 0.0179464, 0, 0, 0, 0, 0, 2.79373e-07, 0.000300788, 0.00234448, 0.000118991, 2.84495e-06, 0, 3.50756e-08, 0, 0, 0, 0, 0, 0, 0.000110565, 0.000151396, 3.21053e-11, 0.000967545, 1.25472e-05, 4.46506e-06, 0.000106263, 5.50702e-06, 1.44349e-05, 1.64471e-06, 0, 0.0138046, 0.0210106, 0.0146277, 0.0242021, 0.0114362, 0.0279255, 0.00930851, -0.449167
4880, 4500, 0.0552632, 0.0521014, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0521014, 0.0598684, 0.0427632, 0.0690789, 0.0348684, 0.0782895, 0.0282895, 0.403304
5283.24, 5260, 0, 0.000538519, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.000538519, 0.00197368, 0, 0.00328947, 0, 0.00460526, 0, -0.944741
