xunit, xunit_low, fitted_data, total_model, Nnbb_semicoax, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
1216.5, 1209, 23.1333, 21.6926, 12.7272, 0.00149571, 0.0152021, 0.00213864, 0.001459, 0.0263019, 0.00187052, 0.00556379, 0.0496969, 0.272144, 0.0444458, 1.96202, 0.450173, 0.260377, 0.0656298, 2.48815, 0.496, 0.00110173, 0.0465744, 1.45071, 1.15436, 0.130083, 0.00265691, 0.0168522, 0.00570468, 0, 0.0147114, 22.9, 20.4333, 24.1, 19.2333, 25.3, 18.1, 1.19804
1231.5, 1224, 20.6, 21.7205, 12.1695, 0.00159324, 0.0159845, 0.00223927, 0.00144359, 0.0269681, 0.00183697, 0.00552795, 0.0431344, 0.281003, 0.0475111, 2.05265, 0.466022, 0.272404, 0.0684572, 2.5642, 0.517605, 0.00119561, 0.0507989, 1.50841, 1.20434, 0.335024, 0.00659444, 0.0455577, 0.0156959, 0, 0.014849, 22.9667, 20.5, 24.1667, 19.3, 25.3, 18.1, -0.931197
1246.5, 1239, 19.2, 20.507, 11.3745, 0.00463084, 0.0458263, 0.00706665, 0.00140466, 0.0269453, 0.00184508, 0.00550956, 0.0388682, 0.22592, 0.0394101, 1.70401, 0.397208, 0.226137, 0.0560435, 2.62776, 0.537429, 0.00122742, 0.0527287, 1.59337, 1.25079, 0.229439, 0.00434036, 0.0297992, 0.00985994, 0, 0.015007, 21.7, 19.3, 22.9, 18.1667, 24.0333, 17.0333, -1.11785
1261.5, 1254, 19.8667, 19.5509, 10.7543, 0.00145858, 0.014505, 0.00196613, 0.00148522, 0.0266566, 0.0018605, 0.0054384, 0.0356931, 0.190995, 0.0338878, 1.40963, 0.322801, 0.18707, 0.0463495, 2.70864, 0.579686, 0.00123518, 0.0554407, 1.70116, 1.30551, 0.12567, 0.00256552, 0.0164504, 0.00519608, 0, 0.0151764, 20.7, 18.3667, 21.8333, 17.2333, 22.9667, 16.1, 0.276609
1276.5, 1269, 19.2667, 19.138, 10.0782, 0.00153562, 0.0156136, 0.00220476, 0.00144856, 0.0274509, 0.00192074, 0.00548989, 0.0339834, 0.178412, 0.0307861, 1.31069, 0.297047, 0.173939, 0.0432821, 2.83846, 0.604529, 0.00137328, 0.0560666, 1.81507, 1.37395, 0.193447, 0.00382292, 0.0255573, 0.00838296, 0, 0.0153513, 20.3, 17.9667, 21.4333, 16.8333, 22.5, 15.7667, 0.113918
1291.5, 1284, 18.4667, 18.6007, 9.5189, 0.00284037, 0.0272979, 0.00404582, 0.00145164, 0.0274979, 0.00189966, 0.00549487, 0.0328353, 0.16371, 0.0294238, 1.21451, 0.275313, 0.161176, 0.0399603, 2.9066, 0.627124, 0.00136475, 0.0603433, 1.90194, 1.43505, 0.123622, 0.0023476, 0.0155547, 0.00487983, 0, 0.0155135, 19.7667, 17.4333, 20.8333, 16.3667, 21.9667, 15.2333, -0.120365
1306.5, 1299, 16.9333, 16.8397, 8.81126, 0.0014499, 0.0144645, 0.00204615, 0.00141224, 0.0265438, 0.00186204, 0.00539679, 0.0318127, 0.15087, 0.0276844, 1.10416, 0.253463, 0.146531, 0.0363211, 2.55463, 0.559952, 0.00119483, 0.0526244, 1.65043, 1.24561, 0.121903, 0.00234302, 0.0153311, 0.00475903, 0, 0.0156573, 17.9, 15.7667, 18.9667, 14.7, 20.0333, 13.6333, 0.0883623
1321.5, 1314, 15.1333, 15.0405, 8.26246, 0.00148209, 0.0148289, 0.00212809, 0.00143561, 0.0273882, 0.00187602, 0.00540934, 0.0774876, 0.135526, 0.0247286, 0.982398, 0.228233, 0.130372, 0.0327541, 2.08851, 0.450793, 0.000983799, 0.0469916, 1.35518, 1.01203, 0.119153, 0.00235219, 0.0154196, 0.00477017, 0, 0.0158182, 16.1, 14.0333, 17.1, 13.0333, 18.0333, 12.0333, 0.0927043
1333.5, 1329, 16.8889, 16.5113, 7.79543, 0.00140988, 0.0144457, 0.00197906, 0.00145028, 0.026785, 0.00188072, 0.00538414, 2.48385, 0.116095, 0.0205362, 0.882113, 0.200537, 0.117064, 0.0294998, 1.97731, 0.432042, 0.000942678, 0.0423325, 1.25295, 0.94683, 0.121623, 0.00241148, 0.015646, 0.00479179, 0, 0.015922, 17.9444, 15.0556, 19.2778, 13.7222, 20.6111, 12.3889, 0.278802
1346.5, 1338, 14.5882, 13.016, 7.31261, 0.00149792, 0.0154768, 0.00217962, 0.00144911, 0.028279, 0.0019912, 0.00529632, 0.0237136, 0.0980561, 0.019426, 0.706077, 0.168684, 0.0937024, 0.025811, 1.85959, 0.409092, 0.000893387, 0.0406809, 1.15751, 0.893459, 0.112753, 0.00230739, 0.0148028, 0.00455332, 0, 0.0160786, 13.9118, 12.0882, 14.7941, 11.2647, 15.6176, 10.3824, 1.79685
