energy, cts
2472.6, 10472.7
2478.6, 9774.44
2483.1, 9063.59
2487, 8671.67
2489.4, 8215.45
2492.7, 7722.89
2497.2, 7328.52
2499.9, 6823.78
2504.4, 6297.92
2509.2, 5838.15
2511.9, 5509.49
2515.8, 5102.96
2521.2, 4772.08
2526, 4368.41
2532.3, 4049.46
2541.6, 3724.56
2553, 3440.75
2567.7, 3193.62
2574.6, 2998.25
2580.3, 2853.02
2589.9, 2689.73
2601, 2847.72
2606.7, 3273.33
2608.5, 3742.22
2609.4, 4880
2610, 6460
2610.3, 8596.67
2610.6, 12873.3
2610.9, 20206.7
2611.2, 32243.3
2611.5, 55106.7
2611.8, 89766.7
2612.1, 143277
2612.4, 220077
2612.7, 319470
2613, 444470
2613.3, 578553
2613.6, 719520
2613.9, 838837
2614.2, 922530
2614.5, 953283
2614.8, 920117
2615.1, 835323
2615.4, 712063
2615.7, 576773
2616, 436703
2616.3, 311483
2616.6, 212587
2616.9, 135347
2617.2, 83870
2617.5, 49173.3
2617.8, 27290
2618.1, 15103.3
2618.4, 8506.67
2618.7, 4860
2619, 2626.67
2619.3, 1730
2619.6, 1036.67
2620.5, 762.5
2621.7, 596.944
2625.3, 461.138
2637.6, 387.403
2660.7, 346.709
2684.1, 471.19
2688.3, 378.24
2715, 408.699
2758.8, 375.8
2773.8, 343.915
2799.6, 312.387
2821.8, 278.627
2842.2, 252.519
2855.7, 218.551
2890.2, 269.667
2893.2, 202.014
2907.6, 174.31
2967, 139.177
2991.3, 121.862
3024.6, 93.8333
3048.6, 74.9394
3081.6, 56.0247
3122.1, 112.667
3123.6, 372.727
3126.9, 180
3127.8, 70
3129.3, 43.3951
3145.5, 34.7119
3194.1, 76.6667
3195, 265.556
3195.9, 516.667
3196.5, 865
3197.1, 1279.44
3198.9, 991.667
3199.5, 616.667
3200.1, 295.556
3201, 87.7778
3201.9, 19.9415
3219, 13.5489
3288.6, 10.0168
3348.3, 6.95341
3376.2, 27.1111
3380.7, 4.41886
3471.9, 25.7143
3474, 114.242
3477.3, 41.6667
3478.5, 10.6667
3480, 2.77136
3544.95, 1.71132
3998.4, 1.01831
4607.25, 0.528099
5035.2, 0
