xunit, xunit_low, fitted_data, total_model, Nnbb_semicoax, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
2767.5, 2760, 2, 0.809257, 0, 0, 0, 0, 0.00407437, 0.187339, 0.0102372, 0.00333201, 0, 0, 0, 0, 0, 0, 0, 0.00187311, 0.0736661, 0, 0, 0.0221918, 0.00186457, 0.0204157, 0.000476795, 0.00265554, 0.000748857, 0, 0.480383, 1.5, 0, 3.5, 0, 4.5, 0, 0.79158
2782.5, 2775, 0, 0.795011, 0, 0, 0, 0, 0.00415113, 0.185514, 0.0105394, 0.00312424, 0, 0, 0, 0, 0, 0, 0, 0.000624369, 0.0723169, 0, 0, 0.025362, 0.00167811, 0.00680523, 0.000220059, 0.000873534, 0.00035437, 0, 0.483447, 1.5, 0, 3.5, 0, 4.5, 0, -1.24784
2797.5, 2790, 0, 0.806496, 0, 0, 0, 0, 0.00418631, 0.210832, 0.0113155, 0.00293985, 0, 0, 0, 0, 0, 0, 0, 0.00187311, 0.0639518, 0, 0, 0.0190215, 0.00149166, 0.00371195, 6.41839e-05, 0.000471708, 0.000123695, 0, 0.486512, 1.5, 0, 3.5, 0, 4.5, 0, -1.26067
2812.5, 2805, 1, 0.812471, 0, 0, 0, 0, 0.00399762, 0.198189, 0.0107751, 0.00284376, 0, 0, 0, 0, 0, 0, 0, 0.00187311, 0.0615233, 0, 0, 0.038043, 0.00205103, 0.00268085, 8.71068e-05, 0.000227119, 7.35484e-05, 0, 0.490107, 1.5, 0, 3.5, 0, 4.5, 0, 0.0939674
2827.5, 2820, 1, 0.786066, 0, 0, 0, 0, 0.00368421, 0.181449, 0.0100195, 0.00251654, 0, 0, 0, 0, 0, 0, 0, 0.00187311, 0.0566662, 0, 0, 0.0285323, 0.0013052, 0.00577414, 0.000105445, 0.000681357, 0.000170499, 0, 0.493288, 1.5, 0, 2.5, 0, 4.5, 0, 0.119104
2842.5, 2835, 0, 0.75235, 0, 0, 0, 0, 0.00347953, 0.168646, 0.00903856, 0.00241265, 0, 0, 0, 0, 0, 0, 0, 0.000624369, 0.0528884, 0, 0, 0.0158513, 0.000932286, 0.00206219, 5.95994e-05, 0.000227119, 9.0264e-05, 0, 0.496037, 1.5, 0, 2.5, 0, 4.5, 0, -1.22066
2857.5, 2850, 1, 0.738291, 0, 0, 0, 0, 0.00308296, 0.157252, 0.00833422, 0.00199453, 0, 0, 0, 0, 0, 0, 0, 0.00249747, 0.0491107, 0, 0, 0.012681, 0.00111874, 0.00247463, 6.41839e-05, 0.000349414, 7.68915e-05, 0, 0.499254, 1.5, 0, 2.5, 0, 4.5, 0, 0.155038
2872.5, 2865, 1, 0.764439, 0, 0, 0, 0, 0.00290387, 0.150114, 0.00822409, 0.00192181, 0, 0, 0, 0, 0, 0, 0, 0.00124874, 0.0534281, 0, 0, 0.0348728, 0.000932286, 0.00701145, 0.000132952, 0.000733769, 0.000200587, 0, 0.502714, 1.5, 0, 2.5, 0, 4.5, 0, 0.129962
2887.5, 2880, 4, 0.7833, 0, 0, 0, 0, 0.00347953, 0.184906, 0.00976594, 0.00200752, 0, 0, 0, 0, 0, 0, 0, 0.00187311, 0.0507297, 0, 0, 0.012681, 0.000559372, 0.00989852, 0.000197136, 0.00127536, 0.00030088, 0, 0.505626, 1.5, 0, 2.5, 0, 4.5, 0, 1.21678
2902.5, 2895, 1, 0.724765, 0, 0, 0, 0, 0.00271198, 0.143297, 0.00746597, 0.00164133, 0, 0, 0, 0, 0, 0, 0, 0.00249747, 0.0415552, 0, 0, 0.012681, 0.00111874, 0.00226841, 5.50148e-05, 0.000174707, 4.01173e-05, 0, 0.509259, 1.5, 0, 2.5, 0, 4.5, 0, 0.158029
2917.5, 2910, 1, 0.733698, 0, 0, 0, 0, 0.0025105, 0.133663, 0.0068692, 0.00152446, 0, 0, 0, 0, 0, 0, 0, 0.00249747, 0.0437139, 0, 0, 0.0158513, 0.000932286, 0.0111358, 0.000284243, 0.00162477, 0.000521525, 0, 0.51257, 1.5, 0, 2.5, 0, 4.5, 0, 0.159461
2932.5, 2925, 3, 0.740426, 0, 0, 0, 0, 0.00250411, 0.132126, 0.00695116, 0.0014933, 0, 0, 0, 0, 0, 0, 0, 0.00811679, 0.0415552, 0, 0.000782325, 0.0221918, 0.0039156, 0.00412438, 0.00010086, 0.000454238, 9.36071e-05, 0, 0.516016, 1.5, 0, 2.5, 0, 4.5, 0, 1.10913
