xunit, xunit_low, fitted_data, total_model, Nnbb_invcoax, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
1567.5, 1560, 23, 24.7422, 18.4121, 0.0142947, 0.0569347, 0.00740352, 0.0268951, 0.214959, 0.0164985, 0.031148, 0.165751, 0, 0, 0, 0, 0, 0, 0.234763, 0.359695, 6.9828e-05, 3.48682, 0.038043, 0.063209, 1.21546, 0.0610389, 0.157271, 0.0204732, 0, 0.159333, 29.5, 19.5, 34.5, 14.5, 40.5, 10.5, -0.320747
1582.5, 1575, 24, 25.1492, 16.2275, 0.420206, 1.57507, 0.218619, 0.0262849, 0.217771, 0.0161229, 0.0311009, 0.151679, 0, 0, 0, 0, 0, 0, 0.263484, 0.382632, 0.00011638, 3.45162, 0.0190215, 0.0643277, 1.59779, 0.0804087, 0.215536, 0.0304123, 0, 0.159495, 29.5, 19.5, 35.5, 15.5, 41.5, 11.5, -0.19782
1597.5, 1590, 21, 20.9567, 14.2051, 0.0228661, 0.0877747, 0.0126075, 0.0427794, 0.340022, 0.0264297, 0.0431178, 0.138634, 0, 0, 0, 0, 0, 0, 0.268479, 0.375616, 0.000162932, 3.52281, 0.038043, 0.0663788, 1.333, 0.0688602, 0.179109, 0.0252304, 0, 0.159696, 25.5, 15.5, 30.5, 11.5, 35.5, 8.5, 0.0449863
1612.5, 1605, 15, 18.9691, 12.209, 0.00779019, 0.02968, 0.00430554, 0.0766572, 0.631244, 0.0426447, 0.0452732, 0.129663, 0, 0, 0, 0, 0, 0, 0.256616, 0.395044, 0.000139656, 3.56427, 0.0285323, 0.0706673, 1.10059, 0.0555008, 0.142631, 0.019039, 0, 0.159875, 23.5, 14.5, 28.5, 10.5, 32.5, 6.5, -0.905422
1627.5, 1620, 25, 18.9724, 10.5004, 0.227552, 0.853858, 0.120713, 0.167703, 1.39303, 0.0915328, 0.0694685, 0.120042, 0, 0, 0, 0, 0, 0, 0.265981, 0.389917, 0.000104742, 3.3773, 0.0317025, 0.0674975, 0.944071, 0.0496233, 0.12495, 0.0168794, 0, 0.160076, 23.5, 14.5, 28.5, 10.5, 32.5, 6.5, 1.35071
1642.5, 1635, 18, 15.0444, 8.94319, 0.0684445, 0.256965, 0.035846, 0.025934, 0.215549, 0.0165655, 0.0306146, 0.114016, 0, 0, 0, 0, 0, 0, 0.244128, 0.371029, 8.1466e-05, 3.41015, 0.0285323, 0.0635819, 0.888598, 0.044209, 0.110904, 0.0157828, 0, 0.160281, 18.5, 10.5, 23.5, 7.5, 27.5, 4.5, 0.777381
1657.5, 1650, 17, 14.3108, 7.63842, 0.00371969, 0.0140248, 0.00189041, 0.0261616, 0.21154, 0.0156454, 0.0301807, 0.111551, 0, 0, 0, 0, 0, 0, 0.229768, 0.359156, 0.000104742, 3.28733, 0.025362, 0.0686162, 1.7805, 0.0891652, 0.226682, 0.030536, 0, 0.16047, 17.5, 9.5, 22.5, 6.5, 26.5, 3.5, 0.729805
1672.5, 1665, 11, 12.0493, 6.5504, 0.0275514, 0.103641, 0.0144333, 0.0316182, 0.266697, 0.0191619, 0.0318883, 0.103847, 0, 0, 0, 0, 0, 0, 0.241006, 0.342965, 0.00011638, 3.21614, 0.0158513, 0.0682433, 0.718261, 0.0343613, 0.0896421, 0.0127774, 0, 0.160661, 15.5, 8.5, 19.5, 5.5, 23.5, 2.5, -0.258189
1687.5, 1680, 5, 10.8406, 5.33502, 0.0122621, 0.0473793, 0.00656973, 0.0282842, 0.232546, 0.0178987, 0.0308055, 0.100971, 0, 0, 0, 0, 0, 0, 0.22727, 0.338648, 0.00017457, 3.07845, 0.0285323, 0.063209, 0.945309, 0.0463866, 0.121945, 0.0180662, 0, 0.160842, 14.5, 7.5, 17.5, 4.5, 21.5, 1.5, -1.92423
1702.5, 1695, 8, 9.44727, 4.43233, 0.00693125, 0.0259325, 0.00350769, 0.0267776, 0.213763, 0.0160052, 0.0306296, 0.0963145, 0, 0, 0, 0, 0, 0, 0.229143, 0.315172, 0.000104742, 3.08471, 0.0285323, 0.0512757, 0.604016, 0.0306157, 0.0785132, 0.0119483, 0, 0.161057, 12.5, 5.5, 16.5, 3.5, 19.5, 1.5, -0.427165
1717.5, 1710, 8, 8.42324, 3.55677, 0.00460034, 0.0180968, 0.00239357, 0.0269467, 0.215799, 0.016538, 0.0303273, 0.0960406, 0, 0, 0, 0, 0, 0, 0.223524, 0.302759, 0.00011638, 3.01977, 0.0221918, 0.0475466, 0.565865, 0.028053, 0.0733769, 0.011293, 0, 0.161228, 11.5, 5.5, 14.5, 2.5, 17.5, 0.5, -0.089916
1732.5, 1725, 14, 12.4559, 3.02533, 0.00623505, 0.0222742, 0.00317704, 0.0270506, 0.223404, 0.0165561, 0.0303373, 0.0944656, 0, 0, 0, 0, 0, 0, 0.182316, 0.297363, 0.00011638, 2.91729, 0.0285323, 0.045682, 4.50713, 0.237921, 0.572654, 0.056639, 0, 0.161427, 15.5, 8.5, 19.5, 5.5, 23.5, 2.5, 0.472599
1747.5, 1740, 4, 6.86299, 2.38851, 0.00326038, 0.0118266, 0.00161009, 0.0272319, 0.223711, 0.0171032, 0.0307865, 0.0924455, 0, 0, 0, 0, 0, 0, 0.165458, 0.265252, 0.000128018, 2.86018, 0.00317025, 0.0460549, 0.47018, 0.0229228, 0.0614269, 0.0100962, 0, 0.161646, 9.5, 3.5, 12.5, 1.5, 16.5, 0.5, -1.11019
1762.5, 1755, 29, 27.5043, 1.80537, 0.00281915, 0.0109424, 0.00159571, 0.0281204, 0.226246, 0.0176749, 0.0310894, 0.0869673, 0, 0, 0, 0, 0, 0, 0.171077, 0.265522, 6.9828e-05, 2.89538, 0.025362, 0.0402748, 18.1324, 0.948831, 2.39969, 0.253057, 0, 0.161814, 32.5, 21.5, 38.5, 17.5, 44.5, 12.5, 0.312991
1777.5, 1770, 5, 5.65242, 1.4664, 0.000882454, 0.00344739, 0.000409709, 0.0287068, 0.232839, 0.0172735, 0.0315167, 0.088508, 0, 0, 0, 0, 0, 0, 0.159214, 0.246363, 0.000139656, 2.74596, 0.0158513, 0.0397154, 0.343767, 0.0180403, 0.0451442, 0.00626164, 0, 0.161982, 7.5, 2.5, 10.5, 0.5, 13.5, 0, -0.208274
1792.5, 1785, 7, 5.21297, 1.10972, 0.00131464, 0.00507781, 0.000553467, 0.028801, 0.228471, 0.017892, 0.0314929, 0.0887819, 0, 0, 0, 0, 0, 0, 0.16858, 0.243665, 4.6552e-05, 2.68181, 0.0063405, 0.0339352, 0.337581, 0.0168116, 0.0441484, 0.00572675, 0, 0.162222, 7.5, 2.5, 9.5, 0.5, 12.5, 0, 0.79897
1807.5, 1800, 9, 5.02445, 0.846714, 0.000999995, 0.0038773, 0.000539091, 0.0421278, 0.34201, 0.0244998, 0.0335792, 0.0861798, 0, 0, 0, 0, 0, 0, 0.135488, 0.239347, 9.3104e-05, 2.64817, 0.00951076, 0.0359862, 0.344798, 0.0174901, 0.0444978, 0.00611789, 0, 0.162428, 7.5, 2.5, 9.5, 0.5, 12.5, 0, 1.62715
1822.5, 1815, 4, 4.63121, 0.611405, 0.00580829, 0.0219498, 0.00299016, 0.029237, 0.232725, 0.017926, 0.0311178, 0.0822423, 0, 0, 0, 0, 0, 0, 0.131742, 0.21776, 3.4914e-05, 2.62626, 0.0158513, 0.0300196, 0.341499, 0.0177881, 0.04621, 0.00601091, 0, 0.162627, 6.5, 1.5, 9.5, 0.5, 12.5, 0, -0.225267
1837.5, 1830, 7, 5.28623, 0.464908, 0.00326038, 0.011859, 0.00167478, 0.0294481, 0.234032, 0.0179695, 0.0311048, 0.0815575, 0, 0, 0, 0, 0, 0, 0.139859, 0.375346, 0.000139656, 2.94545, 0.012681, 0.0635819, 0.588962, 0.030194, 0.0793518, 0.0120252, 0, 0.162828, 7.5, 2.5, 10.5, 0.5, 13.5, 0, 0.765576
1852.5, 1845, 3, 7.11837, 0.330119, 0.000826397, 0.00333383, 0.000531903, 0.029157, 0.232661, 0.0180976, 0.0313905, 0.0857689, 0, 0, 0, 0, 0, 0, 0.108016, 0.223157, 5.819e-05, 2.44164, 0.00951076, 0.0234936, 2.86232, 0.146972, 0.371077, 0.0372289, 0, 0.163011, 9.5, 3.5, 12.5, 1.5, 16.5, 0.5, -1.66532
1867.5, 1860, 4, 4.02812, 0.189047, 0.000862563, 0.00349606, 0.000495964, 0.0298382, 0.236528, 0.0186662, 0.0312035, 0.0813863, 0, 0, 0, 0, 0, 0, 0.103645, 0.195363, 4.6552e-05, 2.36262, 0.0158513, 0.0238665, 0.476779, 0.023638, 0.0627198, 0.00887261, 0, 0.163196, 5.5, 1.5, 8.5, 0.5, 10.5, 0, 0.0566925
1882.5, 1875, 4, 3.9737, 0.142214, 0.00560214, 0.0209115, 0.00309798, 0.0307273, 0.241495, 0.0182487, 0.0317255, 0.08392, 0, 0, 0, 0, 0, 0, 0.107391, 0.20103, 4.6552e-05, 2.4033, 0.012681, 0.0244259, 0.401303, 0.0219051, 0.0535127, 0.00674974, 0, 0.163409, 5.5, 1.5, 8.5, 0.5, 10.5, 0, 0.0838779
1897.5, 1890, 4, 3.86147, 0.0879555, 0.000488243, 0.00210899, 0.000251576, 0.0314373, 0.247416, 0.0191887, 0.0312944, 0.0829955, 0, 0, 0, 0, 0, 0, 0.083041, 0.191316, 1.1638e-05, 2.23275, 0.012681, 0.0231207, 0.542563, 0.028053, 0.0718569, 0.00935068, 0, 0.163586, 5.5, 1.5, 8.5, 0.5, 10.5, 0, 0.140692
1912.5, 1905, 3, 3.68278, 0.0405509, 0.00149005, 0.00541849, 0.000840982, 0.0318402, 0.25321, 0.0196958, 0.0323228, 0.0800852, 0, 0, 0, 0, 0, 0, 0.179818, 0.203998, 0.000151294, 2.1952, 0.012681, 0.0376644, 0.357172, 0.0176139, 0.0432924, 0.00595074, 0, 0.163784, 5.5, 1.5, 7.5, 0, 10.5, 0, -0.287008
1927.5, 1920, 5, 5.36514, 0.028557, 0.00249366, 0.00956347, 0.00135132, 0.0324255, 0.253588, 0.0199545, 0.0326111, 0.0794689, 0, 0, 0, 0, 0, 0, 1.38922, 0.303299, 0.000477158, 2.28595, 0.0285323, 0.288449, 0.372226, 0.019058, 0.0479396, 0.00600757, 0, 0.163961, 7.5, 2.5, 10.5, 0.5, 13.5, 0, -0.0874919
1942.5, 1935, 0, 3.5849, 0.00913823, 0.000571425, 0.00236856, 0.000301891, 0.0319682, 0.254138, 0.0193808, 0.031619, 0.0795716, 0, 0, 0, 0, 0, 0, 0.0680562, 0.180522, 5.819e-05, 2.18112, 0.0063405, 0.0184593, 0.445846, 0.023473, 0.0601341, 0.00767912, 0, 0.164154, 5.5, 1.5, 7.5, 0, 10.5, 0, -2.62708
1957.5, 1950, 5, 3.4551, 0.0105661, 0.00952979, 0.0371183, 0.00529028, 0.0316068, 0.253882, 0.0192937, 0.0318164, 0.0772434, 0, 0, 0, 0, 0, 0, 0.071178, 0.171348, 1.1638e-05, 2.11697, 0.00317025, 0.0177134, 0.357584, 0.019489, 0.0503505, 0.00658593, 0, 0.164354, 5.5, 1.5, 7.5, 0, 10.5, 0, 0.828329
1972.5, 1965, 2, 3.35857, 0.00314127, 0.00191138, 0.00723547, 0.00116444, 0.0324671, 0.252634, 0.0199289, 0.0320735, 0.0810439, 0, 0, 0, 0, 0, 0, 0.0736755, 0.160554, 1.1638e-05, 2.06143, 0.0063405, 0.0160353, 0.373257, 0.0184941, 0.04621, 0.00642546, 0, 0.164545, 5.5, 1.5, 7.5, 0, 9.5, 0, -0.714945
1987.5, 1980, 4, 3.18827, 0, 6.87157e-05, 0.000332572, 4.31273e-05, 0.0323679, 0.253722, 0.0193987, 0.0316528, 0.0821738, 0, 0, 0, 0, 0, 0, 0.0780461, 0.160554, 4.6552e-05, 1.95659, 0.0063405, 0.0190186, 0.31964, 0.0166603, 0.0414579, 0.00541918, 0, 0.16473, 4.5, 0.5, 6.5, 0, 9.5, 0, 0.499449
2002.5, 1995, 3, 3.1321, 0, 5.24409e-05, 0.000219011, 2.15637e-05, 0.032611, 0.259387, 0.0197598, 0.0318683, 0.080907, 0, 0, 0, 0, 0, 0, 0.0755486, 0.135999, 5.819e-05, 1.94408, 0, 0.0160353, 0.306648, 0.0171509, 0.041685, 0.00512499, 0, 0.164949, 4.5, 0.5, 6.5, 0, 9.5, 0, 0.000585574
2017.5, 2010, 3, 3.30237, 0, 8.67988e-05, 0.000243345, 7.18788e-06, 0.032854, 0.258651, 0.020226, 0.0319722, 0.0782705, 0, 0, 0, 0, 0, 0, 0.0686806, 0.155967, 1.1638e-05, 1.92765, 0.00317025, 0.0180863, 0.455951, 0.0243211, 0.0553821, 0.00571672, 0, 0.165122, 4.5, 0.5, 7.5, 0, 9.5, 0, -0.0932092
2032.5, 2025, 7, 2.91908, 0, 0.000215189, 0.000616475, 6.4691e-05, 0.0341748, 0.260027, 0.0205052, 0.0318787, 0.0785102, 0, 0, 0, 0, 0, 0, 0.0674318, 0.138967, 3.4914e-05, 1.77666, 0.0063405, 0.0141707, 0.272209, 0.0131623, 0.0341202, 0.00465695, 0, 0.165335, 4.5, 0.5, 6.5, 0, 9.5, 0, 1.89656
2047.5, 2040, 2, 3.01906, 0, 1.80831e-06, 0, 0, 0.0342836, 0.26278, 0.0208407, 0.0317515, 0.0796401, 0, 0, 0, 0, 0, 0, 0.0611881, 0.130602, 3.4914e-05, 1.86897, 0, 0.0123062, 0.293037, 0.0145377, 0.0379987, 0.00555625, 0, 0.165532, 4.5, 0.5, 6.5, 0, 9.5, 0, -0.542071
2062.5, 2055, 3, 2.86041, 0, 9.04154e-06, 3.24461e-05, 7.18788e-06, 0.0344531, 0.274079, 0.0213555, 0.0322813, 0.0808042, 0, 0, 0, 0, 0, 0, 0.0580663, 0.126555, 4.6552e-05, 1.78214, 0, 0.0141707, 0.223748, 0.0116494, 0.030958, 0.00432933, 0, 0.165728, 4.5, 0.5, 6.5, 0, 8.5, 0, 0.151159
2077.5, 2070, 2, 2.81616, 0, 0, 0, 0, 0.035953, 0.268701, 0.0216603, 0.0326215, 0.0792635, 0, 0, 0, 0, 0, 0, 0.0536957, 0.115221, 1.1638e-05, 1.75554, 0.00317025, 0.0182728, 0.222923, 0.0107783, 0.028285, 0.0041254, 0, 0.165938, 4.5, 0.5, 6.5, 0, 8.5, 0, -0.435295
2092.5, 2085, 0, 2.72422, 0, 0, 0, 0, 0.0361097, 0.28096, 0.0217269, 0.0329877, 0.0752233, 0, 0, 0, 0, 0, 0, 0.0649343, 0.120078, 3.4914e-05, 1.63819, 0.0063405, 0.0162218, 0.220242, 0.0114752, 0.0290363, 0.00449983, 0, 0.166157, 4.5, 0.5, 6.5, 0, 8.5, 0, -2.30051
2107.5, 2100, 4, 3.57891, 0, 0, 0, 0, 0.125257, 0.915153, 0.076286, 0.0993317, 0.0803249, 0, 0, 0, 0, 0, 0, 0.0624369, 0.119539, 4.6552e-05, 1.64132, 0.00951076, 0.0143572, 0.226222, 0.0105078, 0.0281103, 0.00411202, 0, 0.166393, 5.5, 1.5, 7.5, 0, 10.5, 0, 0.288565
2122.5, 2115, 2, 4.16164, 0, 1.80831e-06, 1.6223e-05, 7.18788e-06, 0.0397651, 0.304517, 0.0241549, 0.0359093, 0.0787157, 0, 0, 0, 0, 0, 0, 0.0561932, 0.113602, 2.3276e-05, 1.56308, 0, 0.0186457, 1.47344, 0.0754849, 0.189732, 0.0217703, 0, 0.166584, 6.5, 1.5, 8.5, 0.5, 11.5, 0, -1.08358
2137.5, 2130, 4, 2.58891, 0, 0, 0, 0, 0.0408013, 0.315272, 0.024598, 0.0356938, 0.0795716, 0, 0, 0, 0, 0, 0, 0.0611881, 0.114682, 2.3276e-05, 1.56934, 0.00317025, 0.0132385, 0.138167, 0.00681267, 0.0171737, 0.00239032, 0, 0.16679, 4.5, 0.5, 6.5, 0, 8.5, 0, 0.8385
