xunit, xunit_low, fitted_data, total_model, Ac228_cables, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_cables, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_cables, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_far, K40_holders, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
1462.5, 1455, 583, 557.742, 0.0756976, 0.0949173, 0.892212, 0.0827718, 0.000248128, 0.0891603, 1.45202, 0.0773898, 0.104455, 0.0725382, 3.85445, 44.2857, 10.2836, 319.292, 0.00737791, 87.4917, 7.35561, 52.6245, 9.26861, 7.22097e-05, 2.30933, 8.99914, 2.51213, 5.73644, 0.138092, 0.56007, 0.0818662, 0, 581.5, 533.5, 605.5, 510.5, 628.5, 487.5, 1.06951
1477.5, 1470, 78, 87.4905, 0.0573816, 0.0749225, 0.692673, 0.0620722, 0.000246741, 0.0881017, 1.45206, 0.0772415, 0.104128, 0.0697765, 3.70773, 0.00159285, 9.62505e-05, 0.00434323, 1.49068e-07, 0.000451985, 0.000148618, 51.6239, 9.30009, 7.26882e-05, 2.34623, 8.75145, 2.46864, 5.82157, 0.138669, 0.563309, 0.0836393, 0, 97.5, 77.5, 106.5, 68.5, 115.5, 59.5, -1.01463
1492.5, 1485, 91, 89.2001, 0.0608514, 0.0754765, 0.704493, 0.0672146, 0.000247071, 0.0888656, 1.423, 0.0765962, 0.10345, 0.0652999, 3.51945, 0, 0, 0, 0, 0, 0, 52.88, 9.62427, 7.56069e-05, 2.35562, 9.04042, 2.5154, 5.81153, 0.138999, 0.564446, 0.0843338, 0, 99.5, 79.5, 108.5, 69.5, 117.5, 60.5, 0.19058
1507.5, 1500, 83, 93.0622, 0.0466038, 0.0580269, 0.540122, 0.0520005, 0.000333258, 0.122315, 2.00961, 0.102245, 0.116474, 0.0629695, 3.35626, 0, 0, 0, 0, 0, 0, 54.2249, 10.0039, 7.70038e-05, 2.44268, 9.20161, 2.58803, 7.15604, 0.163659, 0.692392, 0.121906, 0, 103.5, 82.5, 112.5, 73.5, 122.5, 63.5, -1.04305
1522.5, 1515, 768, 785.603, 0.0333571, 0.0423777, 0.39213, 0.0367501, 0.000239373, 0.0851732, 1.40039, 0.0747169, 0.103087, 0.0595267, 3.18966, 0, 0, 0, 0, 0, 0, 550.765, 91.8578, 0.000578764, 22.8059, 83.2725, 24.9626, 5.74828, 0.136607, 0.554409, 0.0816825, 0, 814.5, 757.5, 842.5, 729.5, 869.5, 701.5, -0.628026
1537.5, 1530, 28, 17.1554, 0.0382948, 0.0497026, 0.456161, 0.0419693, 0.000232837, 0.0826399, 1.35636, 0.0731665, 0.101546, 0.0582229, 3.11705, 0, 0, 0, 0, 0, 0, 1.76449, 0.720913, 3.01057e-05, 0.261196, 0.847232, 0.0809082, 7.15022, 0.171633, 0.687429, 0.0960242, 0, 21.5, 12.5, 25.5, 8.5, 30.5, 5.5, 2.41207
1552.5, 1545, 17, 13.7932, 0.0385178, 0.0479974, 0.449525, 0.0423123, 0.00023206, 0.0829255, 1.33786, 0.0730732, 0.100482, 0.059078, 3.15255, 0, 0, 0, 0, 0, 0, 0.613039, 0.564951, 2.482e-05, 0.235626, 0.53468, 0.0464431, 5.64799, 0.13532, 0.548867, 0.0816608, 0, 17.5, 9.5, 21.5, 6.5, 25.5, 3.5, 0.872427
1567.5, 1560, 21, 13.6549, 0.0322369, 0.0406986, 0.375149, 0.0355333, 0.000234414, 0.0838238, 1.36135, 0.0736949, 0.0999551, 0.0541777, 2.92211, 0, 0, 0, 0, 0, 0, 0.685713, 0.756807, 3.10757e-05, 0.285794, 0.670316, 0.0563549, 5.38899, 0.128743, 0.523487, 0.0797158, 0, 17.5, 9.5, 21.5, 6.5, 25.5, 3.5, 1.87195
1582.5, 1575, 23, 15.9309, 0.155468, 0.188556, 1.79717, 0.167507, 0.000232878, 0.0830134, 1.3435, 0.0725838, 0.101583, 0.0500413, 2.72771, 0, 0, 0, 0, 0, 0, 0.687276, 0.852988, 3.28477e-05, 0.338551, 0.746979, 0.0627636, 5.77187, 0.134946, 0.556718, 0.0914395, 0, 19.5, 11.5, 24.5, 8.5, 28.5, 4.5, 1.69135
1597.5, 1590, 22, 13.8475, 0.0240765, 0.029695, 0.282631, 0.0271273, 0.000238524, 0.0837778, 1.37544, 0.0742116, 0.103785, 0.0468452, 2.52476, 0, 0, 0, 0, 0, 0, 0.708766, 0.945377, 3.07653e-05, 0.389366, 0.868855, 0.0690916, 5.54389, 0.131367, 0.533407, 0.0847662, 0, 17.5, 9.5, 21.5, 6.5, 25.5, 3.5, 2.04419
