xunit, xunit_low, fitted_data, total_model, Nnbb_bege, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_bege, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
1792.5, 1785, 8, 8.71272, 2.38766, 0.000889688, 0.0107234, 0.000991928, 0.0379461, 0.884009, 0.0503653, 0.137653, 0.220945, 0, 0, 0, 0, 0, 0, 0.367753, 1.54699, 0.208762, 0.00391162, 0.0285323, 0.101992, 1.17586, 0.0156242, 0.0904283, 0.0274904, 0, 1.41419, 11.5, 5.5, 14.5, 2.5, 18.5, 0.5, -0.187861
1807.5, 1800, 10, 8.32588, 1.88094, 0.000678116, 0.00905245, 0.00088411, 0.0442143, 1.06278, 0.057874, 0.146379, 0.223102, 0, 0, 0, 0, 0, 0, 0.300946, 1.54294, 0.207703, 0.00234697, 0.0158513, 0.0969577, 1.17978, 0.0160001, 0.0936778, 0.0277913, 0, 1.41598, 11.5, 5.5, 14.5, 2.5, 17.5, 0.5, 0.613911
1822.5, 1815, 9, 7.56569, 1.34004, 0.00332005, 0.0390975, 0.00401084, 0.038003, 0.879433, 0.0500386, 0.137926, 0.215877, 0, 0, 0, 0, 0, 0, 0.277844, 1.49545, 0.203374, 0.00234697, 0.0063405, 0.0887536, 1.22515, 0.0162523, 0.0956345, 0.0290817, 0, 1.41771, 10.5, 4.5, 13.5, 2.5, 16.5, 0.5, 0.560642
1837.5, 1830, 8, 7.98917, 0.985772, 0.00177214, 0.0219416, 0.0019551, 0.0383132, 0.900136, 0.0507327, 0.138467, 0.214782, 0, 0, 0, 0, 0, 0, 0.279717, 1.63765, 0.203583, 0.00547627, 0.0221918, 0.10367, 1.75101, 0.0232713, 0.143819, 0.0454429, 0, 1.41947, 10.5, 4.5, 14.5, 2.5, 17.5, 0.5, 0.0612069
1852.5, 1845, 16, 12.2965, 0.735125, 0.000540684, 0.00693534, 0.000682849, 0.038044, 0.903726, 0.0502512, 0.14002, 0.212419, 0, 0, 0, 0, 0, 0, 0.270352, 1.39534, 0.194273, 0.00156465, 0.0285323, 0.0727183, 6.15296, 0.0796477, 0.471813, 0.120482, 0, 1.42106, 15.5, 8.5, 19.5, 5.5, 23.5, 2.5, 1.04941
1867.5, 1860, 4, 6.80019, 0.413948, 0.000546109, 0.00662711, 0.00061097, 0.0400977, 0.920754, 0.0529072, 0.140116, 0.215569, 0, 0, 0, 0, 0, 0, 0.276595, 1.37618, 0.192236, 0.00704092, 0.00317025, 0.0766339, 1.48148, 0.0192827, 0.117211, 0.0365134, 0, 1.42267, 9.5, 3.5, 12.5, 1.5, 15.5, 0.5, -1.08791
1882.5, 1875, 8, 6.47173, 0.324974, 0.00305966, 0.0365018, 0.00381677, 0.0397363, 0.936406, 0.052669, 0.143287, 0.21509, 0, 0, 0, 0, 0, 0, 0.22727, 1.30062, 0.190118, 0.00704092, 0.00317025, 0.0727183, 1.3396, 0.0171188, 0.103234, 0.0307666, 0, 1.42453, 9.5, 3.5, 11.5, 1.5, 15.5, 0.5, 0.636933
1897.5, 1890, 7, 6.56307, 0.179034, 0.000294754, 0.00420988, 0.000316267, 0.0400242, 0.939158, 0.0540136, 0.144892, 0.209167, 0, 0, 0, 0, 0, 0, 0.248499, 1.28281, 0.185265, 0.000782325, 0.00317025, 0.0667517, 1.59325, 0.0204563, 0.126645, 0.0382485, 0, 1.42608, 9.5, 3.5, 12.5, 1.5, 15.5, 0.5, 0.230216
1912.5, 1905, 5, 6.23724, 0.0927722, 0.000873413, 0.010399, 0.00109975, 0.0405071, 0.957627, 0.0546078, 0.145068, 0.212385, 0, 0, 0, 0, 0, 0, 0.396474, 1.26285, 0.181739, 0.00704092, 0.0063405, 0.108518, 1.19174, 0.0159864, 0.0956695, 0.0277478, 0, 1.4278, 8.5, 3.5, 11.5, 1.5, 14.5, 0, -0.442264
1927.5, 1920, 8, 9.05895, 0.0553378, 0.00143941, 0.0173343, 0.00153102, 0.041313, 0.972574, 0.0546437, 0.14713, 0.205195, 0, 0, 0, 0, 0, 0, 2.31516, 1.49815, 0.180145, 0.0164288, 0.0665753, 0.662482, 1.24948, 0.0160506, 0.0989539, 0.0296801, 0, 1.42935, 11.5, 5.5, 15.5, 3.5, 19.5, 1.5, -0.30224
