xunit, xunit_low, fitted_data, total_model, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
2737.5, 2730, 1, 2.9651, 0, 0, 0, 0.157777, 2.54217, 0.128019, 0.0480025, 0, 0, 0, 0, 0, 0, 0, 0.00749242, 0.0205078, 0.0010707, 0.00860557, 0.00792563, 0.00596663, 0.0332013, 0.000861898, 0.00323366, 0.00026912, 0, 4.5, 0.5, 6.5, 0, 9.5, 0, -1.23211
2752.5, 2745, 0, 2.90484, 0, 0, 0, 0.156715, 2.50501, 0.126262, 0.0464066, 0, 0, 0, 0, 0, 0, 0, 0.0099899, 0.0194284, 0.000942678, 0.00821441, 0.00951076, 0.00699214, 0.0135074, 0.000327796, 0.00126424, 0.000270792, 0, 4.5, 0.5, 6.5, 0, 9.5, 0, -2.35677
2767.5, 2760, 2, 2.82915, 0, 0, 0, 0.151566, 2.43008, 0.122647, 0.0429889, 0, 0, 0, 0, 0, 0, 0, 0.00967771, 0.0179443, 0.000803022, 0.00782325, 0.00792563, 0.00671246, 0.0268085, 0.000651008, 0.00293031, 0.00059173, 0, 4.5, 0.5, 6.5, 0, 8.5, 0, -0.442696
2782.5, 2775, 2, 2.75685, 0, 0, 0, 0.1477, 2.37986, 0.118472, 0.0402698, 0, 0, 0, 0, 0, 0, 0, 0.00780461, 0.0186189, 0.000826298, 0.00704092, 0.00792563, 0.00568694, 0.0200033, 0.000538687, 0.00180266, 0.000302551, 0, 4.5, 0.5, 6.5, 0, 8.5, 0, -0.401259
2797.5, 2790, 4, 2.8681, 0, 0, 0, 0.151726, 2.49881, 0.122479, 0.0378883, 0, 0, 0, 0, 0, 0, 0, 0.00749242, 0.0153808, 0.000704099, 0.0062586, 0.00951076, 0.00494112, 0.0115483, 0.000279659, 0.000876711, 0.000200587, 0, 4.5, 0.5, 6.5, 0, 8.5, 0, 0.68175
2812.5, 2805, 4, 2.70298, 0, 0, 0, 0.145795, 2.35309, 0.114989, 0.0344524, 0, 0, 0, 0, 0, 0, 0, 0.00686806, 0.0176745, 0.0005819, 0.00664976, 0.00792563, 0.00484789, 0.00876432, 0.000231521, 0.000900534, 0.000213959, 0, 4.5, 0.5, 6.5, 0, 8.5, 0, 0.775529
2827.5, 2820, 1, 2.48653, 0, 0, 0, 0.132331, 2.15604, 0.104333, 0.0311775, 0, 0, 0, 0, 0, 0, 0, 0.0106143, 0.0161903, 0.000477158, 0.0062586, 0.00792563, 0.00484789, 0.0142291, 0.000433242, 0.0014596, 0.000210616, 0, 4.5, 0.5, 5.5, 0, 8.5, 0, -0.987771
2842.5, 2835, 2, 2.28974, 0, 0, 0, 0.12103, 1.98853, 0.0964416, 0.0279948, 0, 0, 0, 0, 0, 0, 0, 0.0140483, 0.0132221, 0.000506253, 0.00391162, 0.00792563, 0.00540726, 0.00948608, 0.00021089, 0.000856063, 0.000177185, 0, 3.5, 0.5, 5.5, 0, 7.5, 0, -0.12969
2857.5, 2850, 2, 2.12944, 0, 0, 0, 0.112163, 1.84737, 0.0885453, 0.0251381, 0, 0, 0, 0, 0, 0, 0, 0.00874116, 0.0137618, 0.00040733, 0.00273814, 0.0110959, 0.00503434, 0.0126825, 0.000353012, 0.00123565, 0.000173842, 0, 3.5, 0.5, 5.5, 0, 7.5, 0, -0.0311654
2872.5, 2865, 0, 2.03324, 0, 0, 0, 0.105991, 1.7632, 0.0840568, 0.0235435, 0, 0, 0, 0, 0, 0, 0, 0.00718024, 0.0132221, 0.000570262, 0.00469395, 0.0110959, 0.0045682, 0.013198, 0.000334673, 0.00131507, 0.000274135, 0, 3.5, 0.5, 5.5, 0, 7.5, 0, -1.96742
