energy, EnrBEGe, EnrCoax, EnrCoax_2, EnrInvCoax, EnrBEGe_2, EnrAll
4904, 9, 24, 5, 1, 7, 46
4919, 9, 21, 3, 2, 10, 45
4934, 11, 28, 11, 0, 3, 53
4949, 15, 23, 9, 1, 7, 55
4964, 14, 35, 6, 0, 7, 62
4979, 12, 17, 5, 1, 12, 47
4994, 26, 40, 11, 1, 9, 87
5009, 14, 36, 10, 0, 5, 65
5024, 13, 45, 13, 1, 10, 82
5039, 14, 49, 14, 3, 14, 94
5054, 23, 52, 10, 4, 16, 105
5069, 15, 57, 16, 3, 13, 104
5084, 25, 62, 18, 1, 20, 126
5099, 25, 67, 13, 4, 13, 122
5114, 38, 85, 21, 2, 16, 162
5129, 31, 74, 24, 3, 15, 147
5144, 45, 92, 20, 1, 24, 182
5159, 39, 96, 23, 2, 22, 182
5174, 34, 84, 24, 0, 26, 168
5189, 24, 70, 19, 0, 10, 123
5204, 5, 69, 13, 0, 2, 89
5219, 3, 37, 6, 0, 1, 47
5234, 1, 19, 4, 0, 2, 26
5249, 2, 0, 1, 0, 2, 5
5264, 1, 1, 0, 0, 2, 4
5279, 0, 1, 0, 0, 1, 2
5294, 0, 0, 0, 0, 2, 2
5309, 0, 1, 0, 0, 1, 2
5324, 0, 0, 0, 0, 0, 0
