energy, EnrBEGe, EnrCoax, EnrCoax_2, EnrInvCoax, EnrBEGe_2, EnrAll
4859, 0, 2, 1, 0, 0, 3
4874, 0, 0, 0, 0, 0, 0
4889, 0, 0, 0, 0, 0, 0
4904, 0, 0, 0, 0, 0, 0
4919, 0, 0, 0, 0, 0, 0
4934, 0, 0, 0, 0, 0, 0
4949, 0, 1, 0, 0, 0, 1
4964, 0, 2, 0, 0, 0, 2
4979, 0, 0, 0, 0, 0, 0
4994, 0, 0, 0, 0, 0, 0
5009, 0, 1, 0, 0, 0, 1
5024, 0, 2, 0, 0, 0, 2
5039, 0, 2, 0, 0, 0, 2
5054, 0, 5, 0, 0, 0, 5
5069, 0, 4, 0, 0, 0, 4
5084, 0, 3, 0, 0, 0, 3
5099, 0, 4, 1, 0, 0, 5
5114, 0, 3, 1, 0, 0, 4
5129, 0, 4, 0, 0, 0, 4
5144, 0, 6, 0, 0, 0, 6
5159, 0, 7, 0, 0, 0, 7
5174, 0, 5, 1, 0, 0, 6
5189, 0, 3, 1, 0, 0, 4
5204, 0, 6, 1, 0, 0, 7
5219, 0, 1, 0, 0, 0, 1
5234, 0, 0, 0, 0, 0, 0
5249, 0, 0, 0, 0, 0, 0
5264, 0, 0, 0, 0, 0, 0
5279, 0, 0, 0, 0, 0, 0
5294, 0, 0, 0, 0, 0, 0
5309, 0, 0, 0, 0, 0, 0
5324, 0, 0, 0, 0, 0, 0
