xunit, xunit_low, fitted_data, total_model, Nnbb_coax, Ac228_holders, Co60_cables, K40_close, K42_inside_ms, K42_nplus_coax, K42_outside_ms, Th228_cables, U238_cables, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
1612.5, 1605, 2.26667, 2.72665, 2.36171, 0.006339, 0.000580858, 0, 0.0494773, 0.0661374, 0.00818015, 0.131301, 0.0355443, 0.0673737, 3.16667, 2.3, 3.63333, 1.9, 4.03333, 1.5, -1.08446
1627.5, 1620, 2.6, 2.75662, 2.02024, 0.218805, 0.000567395, 0, 0.0486751, 0.06856, 0.00832366, 0.287541, 0.0359905, 0.0679181, 3.16667, 2.3, 3.63333, 1.9, 4.1, 1.56667, -0.342939
1642.5, 1635, 2.13333, 2.03052, 1.73465, 0.0642184, 0.000475073, 0, 0.0514025, 0.0679544, 0.00731908, 0.00157639, 0.0344438, 0.0684832, 2.36667, 1.63333, 2.76667, 1.3, 3.16667, 0.966667, 0.305993
1657.5, 1650, 1.93333, 1.75999, 1.48597, 0.00389617, 0.00051354, 0, 0.0491564, 0.0631091, 0.0100458, 0.00155437, 0.0767401, 0.0690043, 2.1, 1.36667, 2.5, 1.1, 2.83333, 0.766667, 0.528403
1672.5, 1665, 1.66667, 1.50551, 1.25307, 0.0248385, 0.000492383, 0, 0.0469424, 0.0612922, 0.00746259, 0.0136737, 0.0281975, 0.0695437, 1.83333, 1.16667, 2.16667, 0.9, 2.5, 0.633333, 0.532682
1687.5, 1680, 1.13333, 1.26929, 1.03444, 0.0113174, 0.00048469, 0, 0.0465253, 0.0627458, 0.00731908, 0.00749083, 0.0288222, 0.0701385, 1.56667, 0.966667, 1.9, 0.7, 2.23333, 0.5, -0.437055
1702.5, 1695, 1, 1.0716, 0.856421, 0.006007, 0.000455839, 0, 0.0442472, 0.0612922, 0.00717557, 0.00108721, 0.0242118, 0.0707067, 1.3, 0.766667, 1.63333, 0.566667, 1.96667, 0.366667, -0.229198
1717.5, 1710, 0.866667, 0.903359, 0.695126, 0.00361461, 0.000471226, 0, 0.0437017, 0.0531764, 0.00932824, 0.00108858, 0.0256395, 0.0712124, 1.16667, 0.633333, 1.43333, 0.433333, 1.7, 0.233333, -0.105584
1730, 1725, 1.9, 1.26784, 0.584544, 0.00251933, 0.000435644, 0, 0.043798, 0.0554173, 0.00861068, 0.00109061, 0.499703, 0.0717224, 1.65, 0.85, 2.05, 0.55, 2.45, 0.35, 1.68685
1747.5, 1735, 0.68, 0.674993, 0.471547, 0.00440296, 0.00037852, 0, 0.0435477, 0.0543635, 0.00654412, 0.00102544, 0.0208626, 0.0723213, 0.86, 0.5, 1.02, 0.34, 1.22, 0.22, 0.0699232
1765, 1760, 3.2, 2.70145, 0.33534, 0.000664008, 0.000406793, 0, 0.0405252, 0.0485129, 0.00796488, 0.000930747, 2.19414, 0.0729642, 3.25, 2.15, 3.75, 1.65, 4.35, 1.25, 0.960483
1806.5, 1770, 0.369863, 0.366987, 0.17579, 0.00204326, 0.000384543, 0, 0.0431782, 0.0475148, 0.00660546, 0.00758669, 0.00934498, 0.0745394, 0.431507, 0.280822, 0.513699, 0.226027, 0.59589, 0.171233, 0.0718728
1848, 1843, 0.8, 0.564809, 0.0642064, 0.00153796, 0.000366402, 0, 0.0411027, 0.0365209, 0.00430534, 0.000744647, 0.339887, 0.0761375, 0.75, 0.25, 1.05, 0.05, 1.35, 0, 0.988086
2026.5, 1853, 0.221902, 0.172055, 0.00548261, 0.00102165, 0.000474746, 0, 0.0334106, 0.0222643, 0.00818884, 0.000751337, 0.0176717, 0.0827889, 0.194524, 0.148415, 0.217579, 0.12536, 0.240634, 0.105187, 2.23859
2204, 2200, 0.875, 1.1481, 0, 0, 0.000670776, 0, 0.0256892, 0.0104475, 0.00269084, 0.00112473, 1.01787, 0.0896118, 1.5625, 0.6875, 1.9375, 0.4375, 2.4375, 0.1875, -0.693051
2409, 2208, 0.139303, 0.141595, 0, 0, 0.00194447, 0, 0.0203366, 0.00479551, 0.00391979, 0.0017088, 0.0107845, 0.0981058, 0.160448, 0.120647, 0.180348, 0.103234, 0.197761, 0.0858209, -0.122122
2615, 2610, 0.3, 0.303058, 0, 0, 0, 0, 0.0135726, 0.00163527, 0.000215267, 0.180236, 0.000312314, 0.107087, 0.45, 0.05, 0.65, 0, 0.95, 0, 0.052335
3560, 2620, 0.195213, 0.194493, 0, 0, 0, 0, 0.00194439, 0.000174931, 0.000175191, 0.001468, 0.000248475, 0.190482, 0.205053, 0.184309, 0.21516, 0.17367, 0.224734, 0.164096, 0.0707744
4880, 4500, 1.89079, 1.90306, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90306, 1.95329, 1.85197, 2.00329, 1.80197, 2.05197, 1.75329, -0.245158
5279.73, 5260, 0.0315789, 0.0317611, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0317611, 0.0375, 0.0243421, 0.0453947, 0.0190789, 0.0519737, 0.0138158, 0.00502233
