bin_low_edge, bin_center, fitted_data, total_model, Nnbb, K40, K42, Co60, Ac228, Bi212Tl208, Pb214Bi214, Zn65, alpha
3480, 3487.5, 11, 7.93712, 0, 0, 0.0002504, 0, 0, 0.0286756, 0, 0, 7.9082
3495, 3502.5, 7, 7.96618, 0, 0, 0, 0, 0, 0.0203841, 0, 0, 7.94579
3510, 3517.5, 3, 8.00771, 0, 0, 0, 0, 0, 0.0225251, 0, 0, 7.98519
3525, 3532.5, 9, 8.04483, 0, 0, 0, 0, 0, 0.0201184, 0, 0, 8.02471
3540, 3547.5, 3, 8.08067, 0, 0, 0, 0, 0, 0.0166439, 0, 0, 8.06403
3555, 3562.5, 10, 8.11998, 0, 0, 0, 0, 0, 0.0140089, 0, 0, 8.10598
3570, 3577.5, 5, 8.15766, 0, 0, 0, 0, 0, 0.0103846, 0, 0, 8.14728
3585, 3592.5, 11, 8.20132, 0, 0, 0, 0, 0, 0.0118946, 0, 0, 8.18942
3600, 3607.5, 8, 8.23906, 0, 0, 0, 0, 0, 0.00993883, 0, 0, 8.22912
3615, 3622.5, 6, 8.28094, 0, 0, 0, 0, 0, 0.00813291, 0, 0, 8.27281
3630, 3637.5, 10, 8.32569, 0, 0, 0, 0, 0, 0.00700446, 0, 0, 8.31869
3645, 3652.5, 7, 8.3701, 0, 0, 0, 0, 0, 0.00599188, 0, 0, 8.36411
3660, 3667.5, 16, 8.41732, 0, 0, 0, 0, 0, 0.00667457, 0, 0, 8.41065
3675, 3682.5, 12, 8.46285, 0, 0, 0, 0, 0, 0.00618614, 0, 0, 8.45666
3690, 3697.5, 11, 8.51306, 0, 0, 0, 0, 0, 0.00797958, 0, 0, 8.50508
3705, 3712.5, 9, 8.64527, 0, 0, 0, 0, 0, 0.089446, 0, 0, 8.55582
3720, 3727.5, 9, 8.60776, 0, 0, 0, 0, 0, 0.00248341, 0, 0, 8.60527
3735, 3742.5, 7, 8.66183, 0, 0, 0, 0, 0, 0.00193428, 0, 0, 8.6599
3750, 3757.5, 9, 8.71063, 0, 0, 0, 0, 0, 0.00193254, 0, 0, 8.7087
3765, 3772.5, 14, 8.76361, 0, 0, 0, 0, 0, 0.00151176, 0, 0, 8.7621
3780, 3787.5, 7, 8.82019, 0, 0, 0, 0, 0, 0.00154922, 0, 0, 8.81864
3795, 3802.5, 8, 8.87974, 0, 0, 0, 0, 0, 0.00144585, 0, 0, 8.87829
3810, 3817.5, 7, 8.93565, 0, 0, 0, 0, 0, 0.00066673, 0, 0, 8.93498
3825, 3832.5, 6, 8.99683, 0, 0, 0, 0, 0, 0.000820056, 0, 0, 8.99601
3840, 3847.5, 7, 9.05282, 0, 0, 0, 0, 0, 0.000832543, 0, 0, 9.05199
3855, 3862.5, 5, 9.11931, 0, 0, 0, 0, 0, 0.000960894, 0, 0, 9.11835
3870, 3877.5, 10, 9.18682, 0, 0, 0, 0, 0, 0.000615042, 0, 0, 9.1862
3885, 3892.5, 10, 9.25175, 0, 0, 0, 0, 0, 0.00123008, 0, 0, 9.25052
3900, 3907.5, 4, 9.31702, 0, 0, 0, 0, 0, 0.00107676, 0, 0, 9.31595
3915, 3922.5, 10, 9.38983, 0, 0, 0, 0, 0, 0.000780856, 0, 0, 9.38905
3930, 3937.5, 10, 9.45884, 0, 0, 0, 0, 0, 0.000435003, 0, 0, 9.4584
3945, 3952.5, 8, 9.53466, 0, 0, 0, 0, 0, 0.00263847, 0, 0, 9.53202
3960, 3967.5, 8, 9.61772, 0, 0, 0, 0, 0, 0.00767119, 0, 0, 9.61005
3975, 3982.5, 8, 9.68858, 0, 0, 0, 0, 0, 0.000140839, 0, 0, 9.68844
3990, 3997.5, 13, 9.76977, 0, 0, 0, 0, 0, 0.000807568, 0, 0, 9.76896
4005, 4012.5, 11, 9.84988, 0, 0, 0, 0, 0, 6.41754e-05, 0, 0, 9.84981
4020, 4027.5, 15, 9.93755, 0, 0, 0, 0, 0, 6.41754e-05, 0, 0, 9.93748
4035, 4042.5, 10, 10.0274, 0, 0, 0, 0, 0, 0.000140839, 0, 0, 10.0273
4050, 4057.5, 17, 10.1143, 0, 0, 0, 0, 0, 0, 0, 0, 10.1143
4065, 4072.5, 9, 10.2145, 0, 0, 0, 0, 0, 6.41754e-05, 0, 0, 10.2144
4080, 4087.5, 7, 10.3095, 0, 0, 0, 0, 0, 0.000281677, 0, 0, 10.3092
4095, 4102.5, 7, 10.4176, 0, 0, 0, 0, 0, 0.000269189, 0, 0, 10.4173
4110, 4117.5, 8, 10.52, 0, 0, 0, 0, 0, 0.000140839, 0, 0, 10.5198
4125, 4132.5, 6, 10.6249, 0, 0, 0, 0, 0, 0.000128351, 0, 0, 10.6248
4140, 4147.5, 9, 10.7362, 0, 0, 0, 0, 0, 7.66631e-05, 0, 0, 10.7361
4155, 4162.5, 15, 10.8581, 0, 0, 0, 0, 0, 7.66631e-05, 0, 0, 10.858
4170, 4177.5, 12, 10.9729, 0, 0, 0, 0, 0, 0.000281677, 0, 0, 10.9726
4185, 4192.5, 12, 11.1055, 0, 0, 0, 0, 0, 0, 0, 0, 11.1055
4200, 4207.5, 12, 11.2283, 0, 0, 0, 0, 0, 0, 0, 0, 11.2283
4215, 4222.5, 13, 11.37, 0, 0, 0, 0, 0, 0, 0, 0, 11.37
4230, 4237.5, 20, 11.5074, 0, 0, 0, 0, 0, 6.41754e-05, 0, 0, 11.5074
4245, 4252.5, 10, 11.6558, 0, 0, 0, 0, 0, 0, 0, 0, 11.6558
4260, 4267.5, 11, 11.8109, 0, 0, 0, 0, 0, 0, 0, 0, 11.8109
4275, 4282.5, 13, 11.9793, 0, 0, 0, 0, 0, 6.41754e-05, 0, 0, 11.9792
4290, 4297.5, 7, 12.141, 0, 0, 0, 0, 0, 7.66631e-05, 0, 0, 12.1409
4305, 4312.5, 14, 12.3175, 0, 0, 0, 0, 0, 0, 0, 0, 12.3175
4320, 4327.5, 16, 12.5034, 0, 0, 0, 0, 0, 6.41754e-05, 0, 0, 12.5033
4335, 4342.5, 17, 12.6966, 0, 0, 0, 0, 0, 0, 0, 0, 12.6966
4350, 4357.5, 12, 12.8965, 0, 0, 0, 0, 0, 7.66631e-05, 0, 0, 12.8964
4365, 4372.5, 12, 13.1088, 0, 0, 0, 0, 0, 0, 0, 0, 13.1088
4380, 4387.5, 18, 13.3339, 0, 0, 0, 0, 0, 0, 0, 0, 13.3339
4395, 4402.5, 16, 13.5723, 0, 0, 0, 0, 0, 0, 0, 0, 13.5723
4410, 4417.5, 13, 13.8314, 0, 0, 0, 0, 0, 0, 0, 0, 13.8314
4425, 4432.5, 21, 14.0895, 0, 0, 0, 0, 0, 0, 0, 0, 14.0895
4440, 4447.5, 23, 14.365, 0, 0, 0, 0, 0, 0, 0, 0, 14.365
4455, 4462.5, 15, 14.6765, 0, 0, 0, 0, 0, 0, 0, 0, 14.6765
