bin_low_edge, bin_center, fitted_data, total_model, Nnbb, K40, K42, Co60, Ac228, Bi212Tl208, Pb214Bi214, alpha
1110, 1117.5, 1288, 1246.47, 1190.7, 23.8603, 22.7231, 0.194621, 3.32402, 0.0413322, 2.6418, 2.9785
1125, 1132.5, 1165, 1190.54, 1137.73, 25.9844, 22.4656, 0.183923, 0.535648, 0.0388805, 0.619784, 2.98955
1140, 1147.5, 1073, 1141.8, 1085.53, 28.3517, 22.6731, 0.186357, 1.31995, 0.03911, 0.702291, 3.00097
1155, 1162.5, 1072, 1096.39, 1037.6, 30.6885, 23.0304, 0.233571, 1.02043, 0.0406221, 0.76642, 3.0115
1170, 1177.5, 1023, 1051.11, 981.992, 34.3826, 23.6791, 6.71032, 0.657016, 0.0413729, 0.624085, 3.02286
1185, 1192.5, 1095, 1005.97, 938.789, 38.3998, 24.4671, 0.109354, 0.493718, 0.0438457, 0.630732, 3.0333
1200, 1207.5, 1017, 958.636, 885.828, 43.304, 25.1578, 0.106343, 0.512457, 0.0427229, 0.638944, 3.04596
1215, 1222.5, 924, 919.941, 840.675, 49.4402, 25.4119, 0.0962214, 0.580208, 0.0455412, 0.634643, 3.05719
1230, 1237.5, 910, 881.936, 796.15, 53.5432, 26.6392, 0.095773, 0.862064, 0.0467204, 1.53089, 3.06783
1245, 1252.5, 816, 826.828, 747.609, 45.1755, 28.448, 0.0871246, 1.65461, 0.0507074, 0.72458, 3.07813
1260, 1267.5, 779, 787.536, 706.958, 46.3922, 29.6982, 0.0821918, 0.552205, 0.0558027, 0.706201, 3.09204
1275, 1282.5, 768, 745.533, 660.735, 47.8665, 31.4112, 0.0841777, 1.37721, 0.0605547, 0.893896, 3.10434
1290, 1297.5, 765, 709.135, 620.933, 50.2438, 33.4621, 0.0891746, 0.56918, 0.0645077, 0.657323, 3.11528
1305, 1312.5, 692, 663.932, 577.355, 51.3433, 30.637, 0.0900714, 0.624499, 0.061871, 0.695253, 3.12486
1320, 1327.5, 660, 631.121, 540.121, 50.4112, 30.4909, 5.56828, 0.626263, 0.0696507, 0.696035, 3.13766
1335, 1342.5, 649, 583.351, 500.301, 47.2826, 30.8653, 0.148945, 0.782806, 0.0776768, 0.744913, 3.14814
1350, 1357.5, 551, 544.901, 464.754, 44.0947, 31.1554, 0.0251764, 0.882327, 0.0774288, 0.752343, 3.1598
1365, 1372.5, 528, 520.302, 432.531, 40.1367, 31.7657, 0.0266499, 1.76071, 0.0882918, 10.8214, 3.17128
1380, 1387.5, 513, 473.156, 398.294, 37.9111, 31.8911, 0.0315186, 0.676083, 0.0939472, 1.07494, 3.18252
1395, 1402.5, 454, 440.072, 365.532, 38.3775, 30.9495, 0.0324155, 0.707583, 0.090131, 1.18873, 3.19379
1410, 1417.5, 412, 410.457, 336.312, 39.8635, 29.4721, 0.0326077, 0.696256, 0.0805722, 0.795356, 3.20422
1425, 1432.5, 381, 381.981, 305.52, 42.6597, 28.5513, 0.032992, 1.17342, 0.0835042, 0.742958, 3.21707
1440, 1447.5, 355, 358.734, 278.169, 48.4461, 27.2664, 0.0345936, 0.739322, 0.0886172, 0.761728, 3.22909
1455, 1462.5, 3560, 3570.88, 255.178, 3280.17, 27.7242, 0.0337608, 3.63451, 0.0883075, 0.816081, 3.24003
1470, 1477.5, 261, 260.617, 227.761, 0, 27.6771, 0.0336967, 0.865949, 0.0889139, 0.938474, 3.25172
1485, 1492.5, 220, 243.967, 206.709, 0, 29.7022, 0.0341451, 3.19115, 0.0882701, 0.977577, 3.26428
1500, 1507.5, 214, 224.583, 185.667, 0, 31.0052, 0.0324795, 2.31895, 0.899557, 1.38386, 3.27562
1515, 1522.5, 1401, 1307.52, 164.739, 0, 1137.71, 0.0333764, 0.479044, 0.10138, 1.17857, 3.28751
1530, 1537.5, 166, 159.283, 147.221, 0, 5.67651, 0.034978, 0.678713, 0.0637407, 2.30943, 3.29868
1545, 1552.5, 139, 141.075, 129.717, 0, 5.42273, 0.0394623, 1.29565, 0.0608001, 1.22705, 3.31247
1560, 1567.5, 126, 124.943, 114.493, 0, 5.32946, 0.0415123, 0.576861, 0.0602306, 1.11874, 3.32361
1575, 1582.5, 129, 126.622, 100.82, 0, 5.09586, 0.039142, 16.0371, 0.0586738, 1.23879, 3.33305
1590, 1597.5, 78, 99.7963, 88.468, 0, 5.32609, 0.0348498, 1.30626, 0.0594016, 1.25755, 3.34419
1605, 1612.5, 83, 87.0505, 75.8128, 0, 5.13829, 0.0335045, 0.296858, 1.1686, 1.24504, 3.35536
1620, 1627.5, 85, 86.4043, 64.8168, 0, 5.15705, 0.0326077, 8.89446, 2.8589, 1.27789, 3.36656
1635, 1642.5, 65, 68.0664, 55.6845, 0, 5.16552, 0.0311342, 2.60499, 0.0146211, 1.18756, 3.37812
1650, 1657.5, 61, 58.7092, 47.4593, 0, 5.00383, 0.029853, 0.145934, 0.0142404, 2.66722, 3.3888
1665, 1672.5, 51, 50.81, 40.3352, 0, 4.86904, 0.0297889, 1.02016, 0.130767, 1.02528, 3.39976
1680, 1687.5, 42, 43.0036, 33.1476, 0, 4.81555, 0.0291483, 0.460574, 0.0670745, 1.07221, 3.41142
1695, 1702.5, 39, 36.8125, 27.5145, 0, 4.64534, 0.0295967, 0.244109, 0.0106644, 0.945121, 3.42318
1710, 1717.5, 28, 31.2308, 22.1942, 0, 4.40011, 0.0284436, 0.148534, 0.0110417, 1.01512, 3.43336
1725, 1732.5, 43, 37.6219, 18.6366, 0, 4.36685, 0.0269702, 0.185712, 0.0111664, 10.9496, 3.44498
1740, 1747.5, 27, 23.4366, 14.7385, 0, 4.30201, 0.0236389, 0.103376, 0.0105792, 0.802004, 3.45653
