xunit, xunit_low, fitted_data, total_model, Nnbb_bege, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_bege, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
697, 692, 74.3, 72.1738, 53.3054, 0.033278, 0.514258, 0.0438328, 0.00748911, 0.17977, 0.00938071, 0.0253275, 0.309544, 0.404904, 0.0791705, 2.25835, 0.679712, 0.329056, 0.0949059, 9.64851, 1.17052, 0.0206932, 0.0783066, 0.294992, 1.81007, 0.658832, 0.00979953, 0.057059, 0.0259548, 0.0385194, 0.0860948, 74.95, 69.45, 77.55, 66.75, 80.15, 64.15, 0.791445
707, 702, 74.9, 71.9295, 53.3933, 0.0330796, 0.509814, 0.0430865, 0.00733655, 0.176188, 0.00915894, 0.024547, 0.310771, 0.412331, 0.0784094, 2.17172, 0.672056, 0.316433, 0.0937492, 9.42063, 1.14994, 0.0202262, 0.0780794, 0.295989, 1.76713, 0.71994, 0.0102801, 0.0624977, 0.027766, 0.0389407, 0.0861683, 74.65, 69.25, 77.35, 66.55, 79.95, 63.95, 1.10757
717, 712, 70.5, 71.347, 53.0924, 0.0286174, 0.437988, 0.0367314, 0.00733284, 0.176872, 0.00922943, 0.0245349, 0.311176, 0.404286, 0.0778006, 2.16306, 0.680988, 0.315171, 0.0922134, 9.31324, 1.14029, 0.019983, 0.0771707, 0.290341, 1.74582, 0.681164, 0.00991078, 0.0590399, 0.0265329, 0.0388954, 0.0862387, 74.05, 68.65, 76.75, 65.95, 79.35, 63.35, -0.317105
727, 722, 74.5, 72.9876, 52.9685, 0.0304966, 0.468016, 0.0396996, 0.0656532, 1.91167, 0.0865645, 0.100256, 0.313464, 0.40181, 0.0772787, 2.16397, 0.667864, 0.315304, 0.0912502, 9.18183, 1.135, 0.0199039, 0.0796698, 0.300307, 1.72444, 0.631734, 0.00930162, 0.0543432, 0.0245761, 0.0384288, 0.0862919, 75.75, 70.25, 78.45, 67.55, 81.05, 64.95, 0.559815
737.5, 732, 69.9091, 70.3969, 52.6544, 0.0269336, 0.410241, 0.0346103, 0.00539838, 0.131444, 0.0067739, 0.0197904, 0.312306, 0.397993, 0.0771127, 2.19149, 0.660009, 0.319314, 0.0904313, 9.00839, 1.13183, 0.0194961, 0.0720829, 0.27059, 1.69416, 0.647407, 0.00948152, 0.0559873, 0.0244538, 0.0383431, 0.0863874, 72.9545, 67.8636, 75.5, 65.3182, 77.9545, 62.8636, -0.192815
748.5, 743, 70.5455, 70.0106, 52.5825, 0.0266614, 0.407927, 0.0342742, 0.00522756, 0.125939, 0.00660214, 0.0195045, 0.315702, 0.404904, 0.0761836, 2.10693, 0.664815, 0.306993, 0.0894822, 8.84436, 1.10822, 0.0196602, 0.0731156, 0.281462, 1.6633, 0.633519, 0.00945623, 0.0547974, 0.0239997, 0.0385865, 0.0864648, 72.5909, 67.4091, 75.0455, 64.9545, 77.5, 62.5, 0.212025
759.5, 754, 65.9091, 69.4996, 52.1614, 0.0290902, 0.452564, 0.0379273, 0.00689206, 0.175259, 0.00944284, 0.0246571, 0.315606, 0.394215, 0.0754325, 2.13719, 0.664152, 0.311402, 0.0887285, 8.68481, 1.10558, 0.0190792, 0.0741483, 0.272704, 1.64178, 0.607992, 0.00895592, 0.0520659, 0.0231781, 0.0387745, 0.086536, 72.0455, 66.9545, 74.5909, 64.4091, 77.0455, 61.9545, -1.42844
770.5, 765, 70.4545, 69.9356, 51.7739, 0.0303381, 0.466595, 0.0396411, 0.00502715, 0.120776, 0.00623536, 0.0184552, 0.319706, 0.399439, 0.0746418, 2.1202, 0.649652, 0.308926, 0.08697, 8.57396, 1.09883, 0.0193261, 0.0735975, 0.271194, 1.61896, 1.54004, 0.0194376, 0.129327, 0.044979, 0.0387834, 0.0866086, 72.5, 67.4091, 75.0455, 64.8636, 77.5, 62.4091, 0.205817
781.5, 776, 69.3636, 68.7854, 51.4028, 0.0247619, 0.377324, 0.0309146, 0.00970723, 0.259134, 0.0133139, 0.0282864, 0.321187, 0.396948, 0.0773104, 2.11398, 0.657026, 0.30802, 0.0857815, 8.39503, 1.08682, 0.0188642, 0.0707748, 0.276328, 1.59172, 0.991469, 0.0134459, 0.0810347, 0.027591, 0.0391199, 0.0866877, 71.3182, 66.2273, 73.8636, 63.7727, 76.2273, 61.3182, 0.231239
792.5, 787, 69.4545, 68.0397, 51.0375, 0.0400405, 0.622964, 0.0536079, 0.00472812, 0.114928, 0.00591942, 0.0173621, 0.325783, 0.393813, 0.0745429, 2.10818, 0.664897, 0.307175, 0.0854051, 8.32923, 1.07985, 0.0186299, 0.0741483, 0.271496, 1.57898, 0.621118, 0.00888172, 0.0520548, 0.0218869, 0.0397606, 0.0867648, 70.5909, 65.5, 73.0455, 63.0455, 75.5, 60.5909, 0.568889
