xunit, xunit_low, fitted_data, total_model, Nnbb_semicoax, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
667, 662, 45.6, 40.9432, 32.2455, 0.0164679, 0.194818, 0.0220462, 0.00420997, 0.0794793, 0.00565045, 0.0153458, 0.121431, 0.144811, 0.0398353, 1.09521, 0.275785, 0.159579, 0.0523335, 3.48092, 0.442283, 0.000538874, 0.0456662, 1.07931, 1.0175, 0.30646, 0.00623254, 0.0416354, 0.0196482, 0.0213555, 0.00916431, 43.05, 38.85, 45.05, 36.85, 46.95, 34.85, 2.30143
677, 672, 36.3, 40.8508, 32.3232, 0.0174081, 0.210202, 0.0240323, 0.00400757, 0.077877, 0.00544824, 0.0148057, 0.12231, 0.147109, 0.0400093, 1.09156, 0.263755, 0.159047, 0.0520846, 3.42795, 0.439869, 0.000558788, 0.0455148, 1.08197, 0.997381, 0.225657, 0.00480356, 0.0292128, 0.0143089, 0.0214992, 0.00926451, 42.95, 38.75, 44.95, 36.75, 46.85, 34.85, -2.25159
687, 682, 39.8, 40.69, 32.3385, 0.0165129, 0.201843, 0.0227939, 0.00396018, 0.0785562, 0.00536109, 0.0145852, 0.121056, 0.138799, 0.0392917, 1.05052, 0.27852, 0.153068, 0.0510757, 3.36155, 0.43323, 0.000534046, 0.0424855, 1.04742, 0.983451, 0.227068, 0.00492165, 0.0296818, 0.0142781, 0.0215701, 0.0093723, 42.75, 38.65, 44.75, 36.65, 46.75, 34.65, -0.441223
697, 692, 41.5, 40.4311, 32.1496, 0.0167377, 0.204014, 0.022971, 0.00387514, 0.0755299, 0.00524885, 0.0140249, 0.119877, 0.140744, 0.0395091, 1.08199, 0.260839, 0.157652, 0.0505304, 3.27667, 0.432416, 0.000533443, 0.0438487, 1.04908, 0.975518, 0.229114, 0.00488609, 0.030282, 0.0146266, 0.0214775, 0.00945945, 42.45, 38.35, 44.45, 36.35, 46.45, 34.45, 0.531597
707, 702, 43.4, 40.4244, 32.1859, 0.0166115, 0.203789, 0.0231803, 0.00375668, 0.0734229, 0.005188, 0.0139624, 0.121984, 0.139595, 0.0369216, 1.11208, 0.258742, 0.162037, 0.0500862, 3.22823, 0.423575, 0.000528615, 0.0458934, 1.03945, 0.947617, 0.247274, 0.00514598, 0.0329121, 0.0153537, 0.0215858, 0.00956833, 42.45, 38.35, 44.45, 36.35, 46.45, 34.45, 1.47999
717, 712, 37.9, 40.2865, 32.0899, 0.0145944, 0.17482, 0.0196114, 0.00382945, 0.0743953, 0.00512924, 0.0138063, 0.122491, 0.13544, 0.0377696, 1.11025, 0.262023, 0.161771, 0.0491044, 3.20125, 0.419803, 0.000529219, 0.0446817, 1.0813, 0.942145, 0.239012, 0.00503746, 0.0320004, 0.0147585, 0.0213515, 0.00964999, 42.35, 38.25, 44.35, 36.25, 46.25, 34.25, -1.18899
727, 722, 42.3, 41.0157, 32.0312, 0.015978, 0.194041, 0.0220602, 0.0417003, 0.89218, 0.0603647, 0.0696377, 0.12126, 0.140656, 0.0376609, 1.0943, 0.265578, 0.159446, 0.0485863, 3.10498, 0.413889, 0.000510512, 0.04347, 1.0348, 0.9219, 0.222651, 0.0047379, 0.0290729, 0.0135548, 0.0217945, 0.00974698, 43.05, 38.95, 45.15, 36.95, 47.05, 34.95, 0.634138
737.5, 732, 38.3636, 39.8413, 31.894, 0.0137577, 0.165509, 0.018542, 0.0029639, 0.0598753, 0.00411751, 0.0112414, 0.122014, 0.139844, 0.0370441, 1.08891, 0.256099, 0.158661, 0.0484251, 3.10268, 0.418698, 0.000493177, 0.0456456, 1.03978, 0.908242, 0.22539, 0.00470221, 0.0292886, 0.0134728, 0.0220863, 0.0098534, 41.7727, 37.8636, 43.6818, 35.9545, 45.5, 34.1364, -0.776459
748.5, 743, 38.8182, 39.6793, 31.8327, 0.0139156, 0.168884, 0.0189665, 0.00278643, 0.0560248, 0.00387683, 0.010914, 0.123154, 0.136549, 0.0385465, 1.0545, 0.261816, 0.153648, 0.047696, 3.05249, 0.413651, 0.000484948, 0.045026, 1.05126, 0.895441, 0.218157, 0.00467527, 0.0290277, 0.0132348, 0.0218822, 0.00996415, 41.5909, 37.7727, 43.5, 35.8636, 45.3182, 33.9545, -0.453383
759.5, 754, 35.0909, 39.4602, 31.6585, 0.0150421, 0.182288, 0.0207326, 0.00373661, 0.0759636, 0.00561598, 0.0140754, 0.122484, 0.135745, 0.0371627, 1.06196, 0.259331, 0.154735, 0.0472533, 3.00122, 0.413321, 0.000486594, 0.0417902, 1.02589, 0.884624, 0.219719, 0.0046164, 0.0286491, 0.0131016, 0.0220397, 0.0100744, 41.4091, 37.5, 43.3182, 35.5909, 45.1364, 33.7727, -2.30688
770.5, 765, 42.1818, 39.5228, 31.3521, 0.016766, 0.202337, 0.0234093, 0.00279867, 0.0561454, 0.00394707, 0.0108099, 0.124097, 0.135022, 0.0374593, 1.0802, 0.257591, 0.157392, 0.0465385, 2.95097, 0.40309, 0.000509634, 0.0430294, 1.01381, 0.867563, 0.584325, 0.0110695, 0.0806132, 0.0287265, 0.0223529, 0.0101583, 41.5, 37.5909, 43.3182, 35.6818, 45.2273, 33.8636, 1.40279
781.5, 776, 41.1818, 39.0462, 31.226, 0.0136421, 0.160673, 0.018199, 0.00541648, 0.113704, 0.00812912, 0.0168526, 0.125007, 0.138397, 0.0369453, 1.04331, 0.266456, 0.152017, 0.0460639, 2.89713, 0.40693, 0.000529384, 0.0441998, 1.01532, 0.860566, 0.349156, 0.00713497, 0.0462928, 0.0156821, 0.0221758, 0.0102813, 40.9545, 37.1364, 42.8636, 35.2273, 44.6818, 33.4091, 1.1335
792.5, 787, 40.2727, 38.7151, 30.9877, 0.0233245, 0.287217, 0.0342265, 0.0028689, 0.0597417, 0.00415043, 0.0105224, 0.125441, 0.133012, 0.0378348, 1.04414, 0.266622, 0.152138, 0.0456495, 2.85741, 0.403831, 0.000471234, 0.0425475, 1.01653, 0.852626, 0.244056, 0.00497081, 0.0325004, 0.0127739, 0.0223816, 0.0103901, 40.5909, 36.7727, 42.5, 34.9545, 44.3182, 33.1364, 0.830267
803.5, 798, 37.8182, 38.16, 30.655, 0.00966625, 0.111422, 0.0126119, 0.00240296, 0.0469071, 0.00319883, 0.00920724, 0.127098, 0.135263, 0.0365104, 1.023, 0.257922, 0.149058, 0.0452934, 2.79148, 0.411731, 0.000512926, 0.0395182, 1.04371, 0.839422, 0.309462, 0.00614968, 0.0428885, 0.0171908, 0.022795, 0.0105472, 40.0455, 36.2273, 41.9545, 34.4091, 43.7727, 32.5909, -0.183511
814.5, 809, 37.5455, 37.7967, 30.4781, 0.00912143, 0.104755, 0.0115338, 0.00237367, 0.0470018, 0.00320824, 0.00913425, 0.13045, 0.133012, 0.0361348, 1.02217, 0.261651, 0.148937, 0.0450575, 2.78042, 0.403721, 0.000481108, 0.0435802, 1.01049, 0.828819, 0.208657, 0.00429682, 0.0278696, 0.0118644, 0.0233212, 0.0106097, 39.6818, 35.8636, 41.5, 34.0455, 43.3182, 32.2273, -0.135553
825.5, 820, 32.4545, 37.4236, 30.1284, 0.0101967, 0.120866, 0.013555, 0.00226811, 0.0470962, 0.00315182, 0.00897394, 0.135372, 0.139924, 0.0357197, 1.01968, 0.252371, 0.148574, 0.0445838, 2.75679, 0.396891, 0.000508537, 0.0426163, 0.99901, 0.821947, 0.215052, 0.0044933, 0.0287875, 0.0121154, 0.0240031, 0.0107097, 39.3182, 35.5, 41.1364, 33.6818, 42.9545, 31.8636, -2.69401
836.5, 831, 39.1818, 37.2364, 29.7836, 0.0181178, 0.217836, 0.025169, 0.00225975, 0.0454995, 0.00313207, 0.00884234, 0.132841, 0.130762, 0.0358383, 1.02134, 0.251791, 0.148816, 0.0443479, 2.70289, 0.403008, 0.000494274, 0.0430294, 1.02438, 0.808316, 0.291149, 0.00588439, 0.0384962, 0.0134109, 0.0243199, 0.01083, 39.1364, 35.3182, 40.9545, 33.5, 42.7727, 31.7727, 1.05736
847.5, 842, 38.5455, 36.711, 29.6112, 0.00767897, 0.0879605, 0.00971745, 0.00226576, 0.0439942, 0.00304445, 0.00856976, 0.136426, 0.130842, 0.0364314, 1.01471, 0.250714, 0.14785, 0.043679, 2.67681, 0.397412, 0.000472879, 0.039174, 0.975454, 0.803027, 0.205347, 0.0040506, 0.0270598, 0.0112482, 0.0249643, 0.010931, 38.5909, 34.8636, 40.4091, 33.0455, 42.1364, 31.2273, 1.00416
858.5, 853, 35.7273, 36.7482, 29.225, 0.00676036, 0.076513, 0.00837334, 0.0165067, 0.360055, 0.0255898, 0.0400946, 0.138745, 0.137674, 0.0358779, 1.05202, 0.255768, 0.153285, 0.0438469, 2.66221, 0.398207, 0.000469588, 0.0380036, 1.00022, 0.796004, 0.199063, 0.00406552, 0.0258842, 0.0111988, 0.0258019, 0.0110356, 38.5909, 34.8636, 40.4091, 33.0455, 42.2273, 31.3182, -0.558581
