xunit, xunit_low, fitted_data, total_model, Nnbb_invcoax, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
891.5, 886, 25, 26.1107, 20.1709, 0.0115333, 0.0619195, 0.00679948, 0.00599547, 0.047533, 0.00342691, 0.00426654, 0.107346, 0.106008, 0.054736, 0.847665, 0.20937, 0.12351, 0.0182183, 2.58923, 0.282149, 0.000369197, 0.438005, 0.131671, 0.393599, 0.159221, 0.00739446, 0.0211563, 0.00442683, 0.294186, 0.0101026, 27.6818, 24.5, 29.2273, 22.9545, 30.7727, 21.5, -0.720911
902.5, 897, 30.3636, 25.8704, 19.7422, 0.018137, 0.0896408, 0.0102011, 0.00313003, 0.02714, 0.0018742, 0.00330661, 0.111083, 0.114286, 0.0514744, 0.875437, 0.202742, 0.127557, 0.0179222, 2.69978, 0.301076, 0.000431736, 0.443031, 0.123517, 0.403473, 0.163888, 0.00764316, 0.0212581, 0.00451504, 0.295578, 0.0101133, 27.4091, 24.3182, 28.9545, 22.7727, 30.5, 21.3182, 2.92991
911.5, 908, 26.4286, 28.967, 19.6231, 0.591866, 2.74753, 0.302853, 0.00311908, 0.0271587, 0.00181397, 0.00326363, 0.113316, 0.112656, 0.054143, 0.825282, 0.206234, 0.120249, 0.0180879, 2.54033, 0.278285, 0.000374134, 0.421393, 0.116744, 0.383959, 0.153763, 0.00708695, 0.0204238, 0.00425235, 0.279619, 0.0101199, 31.0714, 26.9286, 33.0714, 24.7857, 35.0714, 22.9286, -1.24786
921, 915, 26.3333, 24.977, 19.2384, 0.00771596, 0.0390739, 0.00421027, 0.00302299, 0.0257835, 0.00182769, 0.0032305, 0.117459, 0.106604, 0.0538712, 0.8401, 0.201264, 0.122408, 0.0179248, 2.54586, 0.282172, 0.000382683, 0.426433, 0.12236, 0.381148, 0.149889, 0.00687058, 0.0192139, 0.00413993, 0.245469, 0.0101284, 26.4583, 23.4583, 27.875, 22.0417, 29.2917, 20.625, 0.940135
933, 927, 21.3333, 24.8415, 18.9057, 0.00710937, 0.0372707, 0.00378148, 0.00310964, 0.0256831, 0.00181094, 0.0032825, 0.122393, 0.112351, 0.054759, 0.846559, 0.210606, 0.123349, 0.0177628, 2.50353, 0.284611, 0.000380169, 0.440885, 0.115162, 0.377912, 0.337426, 0.0168444, 0.0457235, 0.00740147, 0.225978, 0.0101378, 26.2917, 23.375, 27.7917, 21.9583, 29.125, 20.5417, -2.43827
945, 939, 23.0833, 24.5381, 18.5677, 0.0116601, 0.0577122, 0.00647729, 0.00287801, 0.0250474, 0.00174108, 0.00313572, 0.126864, 0.130769, 0.0661022, 1.01754, 0.243872, 0.148262, 0.0189657, 2.50841, 0.279507, 0.000400283, 0.423277, 0.124574, 0.375781, 0.14297, 0.00651873, 0.0182529, 0.0038085, 0.215727, 0.0101459, 26.0417, 23.0417, 27.4583, 21.625, 28.7917, 20.2917, -1.01731
956.5, 951, 23.2727, 23.8993, 18.1467, 0.00978092, 0.0484599, 0.00532172, 0.0038422, 0.0315896, 0.00228708, 0.00354238, 0.129292, 0.117983, 0.0566139, 0.909012, 0.212933, 0.132449, 0.017696, 2.4916, 0.284536, 0.000390592, 0.428642, 0.115363, 0.369704, 0.137059, 0.00648419, 0.0178681, 0.00380436, 0.206267, 0.0101581, 25.4091, 22.4091, 26.8636, 20.9545, 28.3182, 19.5, -0.425101
967.5, 962, 24.6364, 25.2226, 17.8725, 0.284489, 1.32152, 0.146026, 0.00269363, 0.0223871, 0.0016387, 0.00307686, 0.113504, 0.113081, 0.0569499, 0.869634, 0.211939, 0.126711, 0.0178471, 2.45744, 0.282204, 0.000392786, 0.425062, 0.122007, 0.368699, 0.1632, 0.00771156, 0.0213042, 0.00414883, 0.196272, 0.0101678, 26.7727, 23.6818, 28.3182, 22.1364, 29.7727, 20.6818, -0.387131
980, 973, 22.5714, 23.0491, 17.4502, 0.00558615, 0.0272632, 0.00278873, 0.00287202, 0.0242879, 0.00172304, 0.00317094, 0.105017, 0.112972, 0.0588645, 0.882276, 0.217431, 0.128553, 0.0174665, 2.44778, 0.288975, 0.000386203, 0.434646, 0.115795, 0.369785, 0.133341, 0.00626394, 0.017334, 0.0036964, 0.180464, 0.0101774, 24.3929, 21.75, 25.6786, 20.4643, 26.8929, 19.1786, -0.372314
994, 987, 23.5714, 22.5182, 16.9296, 0.0058626, 0.0284958, 0.00312676, 0.0025812, 0.0218165, 0.00156777, 0.00299557, 0.104643, 0.119034, 0.0599362, 0.890744, 0.221141, 0.129787, 0.0175352, 2.43923, 0.286712, 0.000386203, 0.44514, 0.117456, 0.363694, 0.133546, 0.00628543, 0.017409, 0.00369714, 0.155571, 0.0101899, 23.8214, 21.25, 25.1071, 19.9643, 26.3214, 18.75, 0.830473
