xunit, xunit_low, fitted_data, total_model, Nnbb_bege, Ac228_holders, Co60_cables, K40_close, K42_inside_ms, K42_nplus_coax, K42_outside_ms, Th228_cables, U238_cables, alpha_high_energy_bege, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
48.5, 48, 431, 6.03586, 4.50989, 0.0614007, 0.000288757, 0.169378, 0.136267, 0.00908269, 0.256166, 0.0403806, 0.716094, 0.136909, 8.5, 3.5, 11.5, 1.5, 14.5, 0, 3.18435
49.5, 49, 444, 6.19285, 4.60945, 0.0616937, 0.000346509, 0.112919, 0.124229, 0.0127158, 0.329356, 0.0396526, 0.76555, 0.136939, 8.5, 3.5, 11.5, 1.5, 14.5, 0, 3.1896
50.5, 50, 413, 6.13361, 4.69226, 0.061181, 0.000259881, 0.0903349, 0.122303, 0.0108992, 0.226029, 0.0341238, 0.759345, 0.136873, 8.5, 3.5, 11.5, 1.5, 14.5, 0, 3.18764
51.5, 51, 439, 6.27989, 4.7046, 0.0623773, 0.000115503, 0.112919, 0.117488, 0.00726616, 0.281998, 0.0376298, 0.818576, 0.136919, 8.5, 3.5, 11.5, 1.5, 14.5, 0, 3.19243
52.5, 52, 440, 6.54373, 4.77332, 0.0639397, 0.000288757, 0.135502, 0.1276, 0.0127158, 0.309982, 0.0411091, 0.942353, 0.136918, 9.5, 3.5, 12.5, 1.5, 15.5, 0.5, 3.20073
53.5, 53, 434, 6.46362, 4.67376, 0.0626214, 0.000259881, 0.101627, 0.11797, 0.0163489, 0.297066, 0.0440756, 1.01301, 0.136878, 9.5, 3.5, 11.5, 1.5, 15.5, 0.5, 3.19826
54.5, 54, 454, 6.40629, 4.78917, 0.0630364, 0.00020213, 0.0903349, 0.123266, 0.00544962, 0.297066, 0.0414324, 0.859441, 0.136882, 8.5, 3.5, 11.5, 1.5, 14.5, 0, 3.19646
55.5, 55, 461, 6.35933, 4.74424, 0.0604974, 0.000288757, 0.112919, 0.111229, 0.0181654, 0.299219, 0.0448645, 0.831182, 0.136719, 8.5, 3.5, 11.5, 1.5, 14.5, 0, 3.19498
56.5, 56, 504, 6.4734, 4.82706, 0.0646233, 0.000144379, 0.203254, 0.116044, 0.00908269, 0.35734, 0.0440619, 0.714968, 0.136819, 9.5, 3.5, 11.5, 1.5, 15.5, 0.5, 3.19856
57.5, 57, 484, 6.55986, 4.83939, 0.0704582, 0.000231006, 0.248421, 0.128563, 0.0108992, 0.325051, 0.0404614, 0.759636, 0.136748, 9.5, 3.5, 12.5, 1.5, 15.5, 0.5, 3.20123
