xunit, xunit_low, fitted_data, total_model, Nnbb_coax, Ac228_holders, Co60_cables, K40_close, K42_inside_ms, K42_nplus_coax, K42_outside_ms, Th228_cables, U238_cables, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
2483.5, 2483, 1, 0.131216, 0, 0, 0.000635266, 0, 0.0178158, 0, 0.00215265, 0.00124079, 0.00803064, 0.101341, 0.5, 0, 1.5, 0, 2.5, 0, 0.457913
2484.5, 2484, 1, 0.13568, 0, 0, 0.000462011, 0, 0.0226309, 0.00363308, 0, 0.00341218, 0.00446146, 0.10108, 0.5, 0, 1.5, 0, 2.5, 0, 0.465554
2485.5, 2485, 1, 0.122478, 0, 0, 0.000635266, 0, 0.0163713, 0, 0, 0.00279179, 0.00133844, 0.101341, 0.5, 0, 1.5, 0, 2.5, 0, 0.456056
2486.5, 2486, 0, 0.126569, 0, 0, 0.000490887, 0, 0.0178158, 0.00363308, 0, 0.00248159, 0.000892293, 0.101255, 0.5, 0, 1.5, 0, 2.5, 0, -0.595938
2487.5, 2487, 0, 0.123386, 0, 0, 0.000462011, 0, 0.0168528, 0.00181654, 0, 0.00248159, 0.000446146, 0.101327, 0.5, 0, 1.5, 0, 2.5, 0, -0.595521
2488.5, 2488, 1, 0.128679, 0, 0, 0.000346509, 0, 0.0226309, 0.00181654, 0, 0.00217139, 0.000446146, 0.101267, 0.5, 0, 1.5, 0, 2.5, 0, 0.467305
2489.5, 2489, 0, 0.127824, 0, 0, 0.00040426, 0, 0.0197419, 0.00363308, 0, 0.00186119, 0.000892293, 0.101292, 0.5, 0, 1.5, 0, 2.5, 0, -0.596086
2490.5, 2490, 0, 0.119679, 0, 0, 0.000317633, 0, 0.0130007, 0.00363308, 0, 0.00124079, 0, 0.101487, 0.5, 0, 1.5, 0, 2.5, 0, -0.580128
2491.5, 2491, 0, 0.134261, 0, 0, 0.000375384, 0, 0.0182973, 0.00726616, 0.00215265, 0.00403258, 0.000446146, 0.101691, 0.5, 0, 1.5, 0, 2.5, 0, -0.611744
2492.5, 2492, 0, 0.1253, 0, 0, 0.000231006, 0, 0.0173343, 0.00363308, 0, 0.00217139, 0.000446146, 0.101484, 0.5, 0, 1.5, 0, 2.5, 0, -0.595779
2493.5, 2493, 0, 0.12669, 0, 0, 0.000519763, 0, 0.0158898, 0.00363308, 0.00215265, 0.00217139, 0.000446146, 0.101877, 0.5, 0, 1.5, 0, 2.5, 0, -0.595953
2494.5, 2494, 1, 0.123495, 0, 0, 0.000462011, 0, 0.0134822, 0.00544962, 0, 0.00248159, 0, 0.10162, 0.5, 0, 1.5, 0, 2.5, 0, 0.457926
2495.5, 2495, 0, 0.123616, 0, 0, 0.000490887, 0, 0.0163713, 0.00181654, 0, 0.00310198, 0, 0.101836, 0.5, 0, 1.5, 0, 2.5, 0, -0.595553
2496.5, 2496, 0, 0.130317, 0, 0, 0.00080852, 0, 0.0207049, 0.00544962, 0, 0.00155099, 0, 0.101803, 0.5, 0, 1.5, 0, 2.5, 0, -0.596353
2497.5, 2497, 0, 0.123123, 0, 0, 0.000462011, 0, 0.0173343, 0.00181654, 0, 0.00186119, 0, 0.101649, 0.5, 0, 1.5, 0, 2.5, 0, -0.595484
2498.5, 2498, 1, 0.128577, 0, 0, 0.000519763, 0, 0.0178158, 0.00363308, 0.00215265, 0.00124079, 0.00133844, 0.101877, 0.5, 0, 1.5, 0, 2.5, 0, 0.467123
2499.5, 2499, 0, 0.121981, 0, 0, 0.000779644, 0, 0.0144453, 0.00181654, 0, 0.00310198, 0, 0.101838, 0.5, 0, 1.5, 0, 2.5, 0, -0.595317
2500.5, 2500, 0, 0.125226, 0, 0, 0.00141491, 0, 0.0134822, 0.00363308, 0.00215265, 0.00279179, 0, 0.101751, 0.5, 0, 1.5, 0, 2.5, 0, -0.59577
2501.5, 2501, 0, 0.130438, 0, 0, 0.00548639, 0, 0.0149268, 0.00544962, 0, 0.00248159, 0, 0.102094, 0.5, 0, 1.5, 0, 2.5, 0, -0.596366
2502.5, 2502, 0, 0.139951, 0, 0, 0.0205306, 0, 0.0134822, 0, 0, 0.00248159, 0.00133844, 0.102118, 0.5, 0, 1.5, 0, 2.5, 0, -0.612238
2503.5, 2503, 0, 0.180171, 0, 0, 0.0496951, 0, 0.0216679, 0, 0.00215265, 0.00155099, 0.00312302, 0.101981, 0.5, 0, 1.5, 0, 2.5, 0, -0.67402
2504.5, 2504, 1, 0.224883, 0, 0, 0.0960984, 0, 0.0168528, 0.00363308, 0, 0.00155099, 0.00446146, 0.102287, 0.5, 0, 1.5, 0, 2.5, 0, 0.471944
2505.5, 2505, 0, 0.256624, 0, 0, 0.126995, 0, 0.0182973, 0, 0, 0.00341218, 0.0057999, 0.10212, 0.5, 0, 1.5, 0, 2.5, 0, -0.775621
2506.5, 2506, 0, 0.24227, 0, 0, 0.117235, 0, 0.0134822, 0.00181654, 0, 0.00217139, 0.00535376, 0.10221, 0.5, 0, 1.5, 0, 2.5, 0, -0.762089
2507.5, 2507, 0, 0.199187, 0, 0, 0.0735753, 0, 0.0144453, 0.00181654, 0, 0.00341218, 0.00356917, 0.102369, 0.5, 0, 1.5, 0, 2.5, 0, -0.70404
2508.5, 2508, 1, 0.160293, 0, 0, 0.0316189, 0, 0.0221494, 0, 0.00215265, 0.00124079, 0.000892293, 0.102239, 0.5, 0, 1.5, 0, 2.5, 0, 0.476407
2509.5, 2509, 0, 0.132202, 0, 0, 0.00958674, 0, 0.0154083, 0.00181654, 0, 0.00217139, 0.000892293, 0.102327, 0.5, 0, 1.5, 0, 2.5, 0, -0.611522
2510.5, 2510, 0, 0.123476, 0, 0, 0.00282982, 0, 0.0139638, 0.00181654, 0, 0.00217139, 0.000446146, 0.102248, 0.5, 0, 1.5, 0, 2.5, 0, -0.595534
2511.5, 2511, 0, 0.129443, 0, 0, 0.000288757, 0, 0.0182973, 0.00544962, 0, 0.00217139, 0.000892293, 0.102344, 0.5, 0, 1.5, 0, 2.5, 0, -0.596264
2512.5, 2512, 0, 0.122431, 0, 0, 2.88757e-05, 0, 0.0158898, 0, 0.00215265, 0.00186119, 0, 0.102499, 0.5, 0, 1.5, 0, 2.5, 0, -0.595384
