xunit, xunit_low, fitted_data, total_model, Ac228_holders, Co60_cables, K40_close, K42_inside_ms, K42_nplus_coax, K42_outside_ms, Th228_cables, U238_cables, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
108.5, 108, 2, 0.0447142, 0.00166828, 0, 0.0030796, 0.000240754, 0, 0.00753428, 0.000681008, 0.0315103, 0.5, 0, 0.5, 0, 1.5, 0, 0.421311
109.5, 109, 0, 0.0457152, 0.0017171, 1.44379e-05, 0.00102653, 0, 0.000908269, 0.0118396, 0.000418054, 0.0297912, 0.5, 0, 0.5, 0, 1.5, 0, -0.440298
110.5, 110, 0, 0.044317, 0.00193683, 1.44379e-05, 0.00102653, 0.000240754, 0.000908269, 0.00753428, 0.000681008, 0.0319748, 0.5, 0, 0.5, 0, 1.5, 0, -0.425475
111.5, 111, 0, 0.0544837, 0.00186359, 0, 0.00513267, 0.000481509, 0.000908269, 0.0129159, 0.000748456, 0.0324333, 0.5, 0, 1.5, 0, 1.5, 0, -0.459286
112.5, 112, 0, 0.048975, 0.00205076, 0, 0.0030796, 0.000240754, 0.000908269, 0.00861061, 0.000505705, 0.0335793, 0.5, 0, 1.5, 0, 1.5, 0, -0.442247
113.5, 113, 1, 0.0549748, 0.00196938, 0, 0.00205307, 0.000722263, 0, 0.0129159, 0.000525909, 0.0367883, 0.5, 0, 1.5, 0, 1.5, 0, 0.399994
114.5, 114, 1, 0.0527092, 0.00232745, 0, 0.00102653, 0, 0.000908269, 0.0129159, 0.000461879, 0.0350692, 0.5, 0, 1.5, 0, 1.5, 0, 0.392249
115.5, 115, 0, 0.0591306, 0.00199379, 0, 0.0030796, 0.000240754, 0.00181654, 0.00968694, 0.000482083, 0.0418309, 0.5, 0, 1.5, 0, 1.5, 0, -0.461529
116.5, 116, 1, 0.0675006, 0.00207517, 1.44379e-05, 0.00205307, 0.000240754, 0, 0.0204502, 0.000836107, 0.0418309, 0.5, 0, 1.5, 0, 1.5, 0, 0.425742
117.5, 117, 2, 0.0613189, 0.00260414, 1.44379e-05, 0.00513267, 0.000481509, 0, 0.0139922, 0.000701212, 0.0383927, 0.5, 0, 1.5, 0, 1.5, 0, 0.452621
118.5, 118, 0, 0.060901, 0.00247393, 0, 0.00205307, 0.000481509, 0.00181654, 0.0161449, 0.000569734, 0.0373613, 0.5, 0, 1.5, 0, 1.5, 0, -0.476545
119.5, 119, 0, 0.0627156, 0.00255531, 1.44379e-05, 0.00410613, 0.000722263, 0.00363308, 0.00753428, 0.000943962, 0.0432061, 0.5, 0, 1.5, 0, 1.5, 0, -0.477374
120.5, 120, 0, 0.0742669, 0.00267738, 0, 0.0030796, 0, 0.00181654, 0.0226029, 0.000438257, 0.0436523, 0.5, 0, 1.5, 0, 1.5, 0, -0.496225
121.5, 121, 0, 0.06824, 0.00250648, 2.88757e-05, 0.00102653, 0, 0.000908269, 0.0150686, 0.00114631, 0.047555, 0.5, 0, 1.5, 0, 1.5, 0, -0.493943
122.5, 122, 0, 0.0809318, 0.00280759, 0, 0.00513267, 0.000240754, 0.000908269, 0.0182975, 0.000832689, 0.0527122, 0.5, 0, 1.5, 0, 2.5, 0, -0.512878
123.5, 123, 2, 0.0719534, 0.0028971, 2.88757e-05, 0.00205307, 0.000722263, 0.000908269, 0.0150686, 0.000657386, 0.0496179, 0.5, 0, 1.5, 0, 1.5, 0, 0.480548
124.5, 124, 2, 0.0713121, 0.00290524, 2.88757e-05, 0.00205307, 0.000963018, 0.00181654, 0.00968694, 0.00103161, 0.0528268, 0.5, 0, 1.5, 0, 1.5, 0, 0.478091
125.5, 125, 0, 0.0921705, 0.00308428, 0, 0.00718573, 0.000240754, 0.00272481, 0.0215265, 0.00092034, 0.0564881, 0.5, 0, 1.5, 0, 2.5, 0, -0.530576
126.5, 126, 1, 0.0901876, 0.00310869, 1.44379e-05, 0.0030796, 0.000963018, 0.000908269, 0.0215265, 0.00111927, 0.0594678, 0.5, 0, 1.5, 0, 2.5, 0, 0.443951
127.5, 127, 1, 0.079522, 0.00354, 1.44379e-05, 0.00410613, 0, 0, 0.0107633, 0.000701212, 0.0603969, 0.5, 0, 1.5, 0, 1.5, 0, 0.431261
128.5, 128, 2, 0.095429, 0.00339352, 1.44379e-05, 0.0030796, 0.000481509, 0.000908269, 0.0226029, 0.00101141, 0.0639374, 0.5, 0, 1.5, 0, 2.5, 0, 0.521576
129.5, 129, 3, 0.088936, 0.00386552, 1.44379e-05, 0.0030796, 0.000963018, 0.00181654, 0.0129159, 0.00143288, 0.0648481, 0.5, 0, 1.5, 0, 2.5, 0, 0.516691
130.5, 130, 2, 0.0969514, 0.00383297, 4.33136e-05, 0.00513267, 0.000240754, 0.00181654, 0.0247555, 0.000745037, 0.0603846, 0.5, 0, 1.5, 0, 2.5, 0, 0.526683
131.5, 131, 1, 0.0857112, 0.00382483, 1.44379e-05, 0.00513267, 0.000240754, 0, 0.0118396, 0.00129457, 0.0633644, 0.5, 0, 1.5, 0, 2.5, 0, 0.433108
132.5, 132, 2, 0.097128, 0.00426428, 2.88757e-05, 0.00718573, 0.000963018, 0.000908269, 0.0182975, 0.00164517, 0.0638351, 0.5, 0, 1.5, 0, 2.5, 0, 0.527274
133.5, 133, 0, 0.0988236, 0.00454097, 0, 0.00205307, 0.000481509, 0.000908269, 0.0215265, 0.000900136, 0.0684131, 0.5, 0, 1.5, 0, 2.5, 0, -0.546805
134.5, 134, 0, 0.10922, 0.00451655, 0, 0.00718573, 0.000963018, 0.00181654, 0.0236792, 0.00127095, 0.0697884, 0.5, 0, 1.5, 0, 2.5, 0, -0.563627
135.5, 135, 3, 0.118122, 0.00412593, 0, 0.00410613, 0, 0.00363308, 0.0279845, 0.00092034, 0.0773523, 0.5, 0, 1.5, 0, 2.5, 0, 0.571004
136.5, 136, 4, 0.115411, 0.00483393, 1.44379e-05, 0.00102653, 0, 0.00363308, 0.0236792, 0.0016688, 0.0805552, 0.5, 0, 1.5, 0, 2.5, 0, 0.562504
137.5, 137, 0, 0.122014, 0.00462235, 1.44379e-05, 0.00102653, 0.000240754, 0.00272481, 0.0236792, 0.00158114, 0.0881252, 0.5, 0, 1.5, 0, 2.5, 0, -0.595322
138.5, 138, 3, 0.117101, 0.00476069, 0, 0, 0.000481509, 0.00454135, 0.0193739, 0.00153732, 0.0864062, 0.5, 0, 1.5, 0, 2.5, 0, 0.567736
139.5, 139, 3, 0.140946, 0.00513504, 0, 0.00718573, 0.000963018, 0.00181654, 0.0322898, 0.0015339, 0.0920218, 0.5, 0, 1.5, 0, 2.5, 0, 0.611906
140.5, 140, 2, 0.134171, 0.00526524, 1.44379e-05, 0.00821227, 0.000722263, 0.00181654, 0.0247555, 0.00171262, 0.0916719, 0.5, 0, 1.5, 0, 2.5, 0, 0.584018
