xunit, xunit_low, fitted_data, total_model, Nnbb_coax, Ac228_holders, Co60_cables, K40_close, K40_far, K42_close_coax, K42_far, K42_inside_ms, Th228_cables, U238_cables, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
1120, 1115, 933, 946.183, 915.014, 3.44697, 0.0160525, 4.52865, 2.41158, 3.04742, 9.52257, 0.630993, 0.086547, 6.90522, 0.573331, 65.1667, 60.9667, 67.2333, 58.9667, 69.1667, 56.9667, -17.2036
1130, 1125, 891, 928.509, 904.794, 1.48913, 0.0163215, 4.35447, 2.27955, 3.00884, 9.32265, 0.652192, 0.0871667, 1.92292, 0.581646, 63.9667, 59.8333, 65.9667, 57.8333, 67.9667, 55.8333, -18.2305
1140, 1135, 960, 913.727, 889.864, 1.32351, 0.0178759, 4.63467, 2.3611, 3.10868, 9.35211, 0.647204, 1.60479, 0.223891, 0.589214, 62.9667, 58.9, 64.9667, 56.8333, 66.9, 54.9, -19.8071
1150, 1145, 913, 896.295, 873.9, 1.56121, 0.0190119, 4.61953, 2.41935, 2.88631, 9.37947, 0.646269, 0.0642969, 0.200805, 0.597849, 61.7667, 57.7, 63.7667, 55.7667, 65.7, 53.7667, -19.1493
1160, 1155, 885, 880.903, 858.026, 1.34957, 0.020088, 4.46049, 2.52808, 3.14953, 9.78563, 0.636916, 0.12641, 0.215614, 0.605457, 60.7667, 56.7, 62.7, 54.7667, 64.6333, 52.8333, -18.1908
1170, 1165, 895, 908.378, 841.273, 46.1181, 0.0215826, 4.59681, 2.55138, 2.98842, 9.32476, 0.626628, 0.0539183, 0.209516, 0.613475, 62.5667, 58.5, 64.6333, 56.5, 66.5667, 54.5667, -19.5219
1180, 1175, 843, 840.993, 819.405, 0.754711, 0.024841, 4.55894, 2.6873, 3.08372, 8.97963, 0.614781, 0.0598043, 0.202983, 0.620827, 58.0333, 54.1, 59.9667, 52.1667, 61.8333, 50.3, -19.7929
1190, 1185, 821, 821.728, 800.025, 0.963406, 0.0257676, 4.68768, 2.52032, 2.82277, 8.967, 0.63411, 0.0647355, 0.388542, 0.628697, 56.7, 52.8333, 58.6333, 50.9667, 60.5, 49.1, -16.491
1200, 1195, 817, 804.346, 782.008, 1.07313, 0.0305804, 5.00575, 2.88535, 2.84773, 8.94806, 0.606052, 0.0960851, 0.20821, 0.637102, 55.5667, 51.7, 57.4333, 49.8333, 59.3, 47.9667, -17.7126
1210, 1205, 812, 817.101, 763.091, 33.1234, 0.029295, 4.80128, 2.68342, 2.89765, 8.91229, 0.601376, 0.0608279, 0.255688, 0.644889, 56.4333, 52.5667, 58.3, 50.6333, 60.1667, 48.7667, -19.0695
