xunit, xunit_low, fitted_data, total_model, Ac228_holders, Co60_cables, K40_close, K40_far, K42_close_coax, K42_far, K42_inside_ms, Th228_cables, U238_cables, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
24700.8, 24656.8, 0, 0.000640874, 0, 0, 0, 0, 0, 0, 0, 0.000640874, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0.178734
24788.8, 24744.8, 0, 0.0017624, 0, 0, 0, 0, 0, 0, 0, 0.0017624, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0.203363
24876.9, 24832.9, 0, 0.000160219, 0, 0, 0, 0, 0, 0, 0, 0.000160219, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0.141855
24964.9, 24920.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
25052.9, 25008.9, 0, 0.00112153, 0, 0, 0, 0, 0, 0, 0, 0.00112153, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0.191881
25141, 25097, 0, 0.000160219, 0, 0, 0, 0, 0, 0, 0, 0.000160219, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0.141855
25229, 25185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
25317.1, 25273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
25405.1, 25361.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
25493.1, 25449.1, 0, 0.000160219, 0, 0, 0, 0, 0, 0, 0, 0.000160219, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0.141855
25581.2, 25537.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
25669.2, 25625.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
25757.2, 25713.2, 0, 0.000160219, 0, 0, 0, 0, 0, 0, 0, 0.000160219, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0.141855
25845.3, 25801.2, 0, 0.000320437, 0, 0, 0, 0, 0, 0, 0, 0.000320437, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0.164404
25933.3, 25889.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
26021.3, 25977.3, 0, 0.000320437, 0, 0, 0, 0, 0, 0, 0, 0.000320437, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0.164404
26109.4, 26065.4, 0, 0.000640874, 0, 0, 0, 0, 0, 0, 0, 0.000640874, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0.178734
26197.4, 26153.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
26285.4, 26241.4, 0, 0.000160219, 0, 0, 0, 0, 0, 0, 0, 0.000160219, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0.141855
26373.5, 26329.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
26461.5, 26417.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
26549.6, 26505.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
26637.6, 26593.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
26725.6, 26681.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
26813.7, 26769.6, 0, 0.000320437, 0, 0, 0, 0, 0, 0, 0, 0.000320437, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0.164404
