bin_low_edge, bin_center, best, 0p5, 0p6, 0p7, 0p8, 0p9, 1p1, 1p2, 1p3, 1p4, 1p5
50955, 50962.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50970, 50977.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50985, 50992.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51000, 51007.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51015, 51022.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51030, 51037.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51045, 51052.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51060, 51067.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51075, 51082.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51090, 51097.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51105, 51112.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51120, 51127.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51135, 51142.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51150, 51157.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51165, 51172.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51180, 51187.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51195, 51202.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51210, 51217.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51225, 51232.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51240, 51247.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51255, 51262.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51270, 51277.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51285, 51292.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51300, 51307.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51315, 51322.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51330, 51337.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51345, 51352.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51360, 51367.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51375, 51382.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51390, 51397.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51405, 51412.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51420, 51427.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51435, 51442.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51450, 51457.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51465, 51472.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51480, 51487.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51495, 51502.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51510, 51517.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51525, 51532.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51540, 51547.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51555, 51562.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51570, 51577.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51585, 51592.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51600, 51607.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51615, 51622.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51630, 51637.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51645, 51652.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51660, 51667.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51675, 51682.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51690, 51697.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51705, 51712.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51720, 51727.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51735, 51742.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51750, 51757.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51765, 51772.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51780, 51787.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51795, 51802.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51810, 51817.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51825, 51832.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51840, 51847.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51855, 51862.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51870, 51877.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51885, 51892.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51900, 51907.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51915, 51922.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51930, 51937.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51945, 51952.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51960, 51967.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51975, 51982.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51990, 51997.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52005, 52012.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52020, 52027.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52035, 52042.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52050, 52057.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52065, 52072.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52080, 52087.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52095, 52102.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52110, 52117.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52125, 52132.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52140, 52147.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52155, 52162.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52170, 52177.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52185, 52192.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52200, 52207.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52215, 52222.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52230, 52237.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52245, 52252.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52260, 52267.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52275, 52282.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52290, 52297.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52305, 52312.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52320, 52327.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52335, 52342.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52350, 52357.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52365, 52372.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52380, 52387.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52395, 52402.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52410, 52417.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52425, 52432.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52440, 52447.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52455, 52462.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52470, 52477.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52485, 52492.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52500, 52507.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52515, 52522.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52530, 52537.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52545, 52552.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52560, 52567.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52575, 52582.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52590, 52597.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52605, 52612.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52620, 52627.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52635, 52642.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52650, 52657.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52665, 52672.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52680, 52687.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52695, 52702.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52710, 52717.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52725, 52732.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52740, 52747.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52755, 52762.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52770, 52777.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52785, 52792.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52800, 52807.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52815, 52822.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52830, 52837.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52845, 52852.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52860, 52867.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52875, 52882.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52890, 52897.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52905, 52912.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52920, 52927.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52935, 52942.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52950, 52957.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52965, 52972.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52980, 52987.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52995, 53002.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53010, 53017.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53025, 53032.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53040, 53047.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53055, 53062.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53070, 53077.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53085, 53092.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53100, 53107.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53115, 53122.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53130, 53137.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53145, 53152.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53160, 53167.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53175, 53182.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53190, 53197.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53205, 53212.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53220, 53227.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53235, 53242.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53250, 53257.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53265, 53272.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53280, 53287.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53295, 53302.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53310, 53317.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53325, 53332.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53340, 53347.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53355, 53362.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53370, 53377.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53385, 53392.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53400, 53407.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53415, 53422.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53430, 53437.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53445, 53452.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53460, 53467.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53475, 53482.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53490, 53497.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53505, 53512.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53520, 53527.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53535, 53542.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53550, 53557.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53565, 53572.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53580, 53587.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53595, 53602.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53610, 53617.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53625, 53632.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53640, 53647.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53655, 53662.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53670, 53677.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53685, 53692.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53700, 53707.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53715, 53722.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53730, 53737.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53745, 53752.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53760, 53767.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53775, 53782.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53790, 53797.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53805, 53812.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53820, 53827.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53835, 53842.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53850, 53857.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53865, 53872.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53880, 53887.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53895, 53902.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53910, 53917.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53925, 53932.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53940, 53947.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53955, 53962.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53970, 53977.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53985, 53992.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54000, 54007.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54015, 54022.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54030, 54037.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54045, 54052.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54060, 54067.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54075, 54082.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54090, 54097.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54105, 54112.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54120, 54127.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54135, 54142.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54150, 54157.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54165, 54172.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54180, 54187.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54195, 54202.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54210, 54217.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54225, 54232.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54240, 54247.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54255, 54262.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54270, 54277.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54285, 54292.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54300, 54307.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54315, 54322.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54330, 54337.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54345, 54352.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54360, 54367.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54375, 54382.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54390, 54397.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54405, 54412.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54420, 54427.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54435, 54442.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54450, 54457.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54465, 54472.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54480, 54487.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54495, 54502.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54510, 54517.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54525, 54532.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54540, 54547.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54555, 54562.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54570, 54577.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54585, 54592.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54600, 54607.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54615, 54622.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54630, 54637.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54645, 54652.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54660, 54667.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54675, 54682.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54690, 54697.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54705, 54712.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54720, 54727.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54735, 54742.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54750, 54757.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54765, 54772.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54780, 54787.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54795, 54802.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54810, 54817.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54825, 54832.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54840, 54847.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54855, 54862.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54870, 54877.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54885, 54892.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54900, 54907.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54915, 54922.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54930, 54937.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54945, 54952.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54960, 54967.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54975, 54982.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54990, 54997.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55005, 55012.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55020, 55027.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55035, 55042.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55050, 55057.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55065, 55072.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55080, 55087.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55095, 55102.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55110, 55117.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55125, 55132.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55140, 55147.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55155, 55162.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55170, 55177.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55185, 55192.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55200, 55207.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55215, 55222.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55230, 55237.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55245, 55252.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55260, 55267.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55275, 55282.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55290, 55297.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55305, 55312.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55320, 55327.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55335, 55342.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55350, 55357.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55365, 55372.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55380, 55387.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55395, 55402.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55410, 55417.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55425, 55432.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55440, 55447.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55455, 55462.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55470, 55477.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55485, 55492.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55500, 55507.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55515, 55522.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55530, 55537.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55545, 55552.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55560, 55567.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55575, 55582.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55590, 55597.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55605, 55612.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55620, 55627.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55635, 55642.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55650, 55657.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55665, 55672.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55680, 55687.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55695, 55702.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55710, 55717.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55725, 55732.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55740, 55747.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55755, 55762.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55770, 55777.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55785, 55792.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55800, 55807.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55815, 55822.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55830, 55837.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55845, 55852.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55860, 55867.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55875, 55882.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55890, 55897.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55905, 55912.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
